symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
USB,golden_st,2,8.5,87.3,55.0,54.81,52.6,56.81
ABNB,death_st,0,4.0,78.0,133.9,134.14,131.06,129.1
LYG,death_st,0,20.4,77.8,5.34,5.34,5.07,5.16
AON,golden_st,0,1.6,70.8,322.92,322.73,336.61,336.33
DLR,death_st,0,2.0,65.0,188.29,188.41,177.45,180.78
IMO,death_st,0,0.6,57.5,125.52,125.71,109.59,120.26
HSY,death,0,2.0,35.7,186.06,191.95,192.12,176.61
KVUE,golden_st,0,21.0,34.4,17.47,17.47,18.05,18.05
HBAN,golden_st,0,21.7,34.1,16.26,16.26,16.53,16.84
CBOE,death_st,0,1.4,30.4,313.96,314.43,281.15,301.08
CHD,golden_st,3,2.1,23.0,95.81,95.54,94.66,98.19
NWS,golden,0,1.4,16.9,30.44,29.9,29.9,30.9
PAC,death,0,0.1,13.5,237.01,243.11,243.15,221.74
HII,death,0,0.6,11.7,310.84,337.83,338.67,289.13
LINE,golden,0,1.1,10.1,41.78,39.69,39.61,44.33
CFR,golden_st,0,0.6,9.0,138.96,138.79,135.36,144.5
VNOM,death_st,1,1.7,8.8,46.31,46.42,43.51,44.78
NE,death_st,0,1.4,7.2,48.18,48.24,40.43,46.27
PB,golden_st,2,0.9,7.1,69.07,68.86,69.38,71.11
VFC,death,0,8.1,6.7,17.05,17.61,17.63,16.41
RSPH,golden_st,3,0.2,,31.21,31.03,30.96,31.92
CANE,death_st,2,0.6,,9.72,9.75,9.95,9.46
EPP,death_st,1,0.4,,54.64,54.81,52.92,53.01
EWW,death_st,0,1.3,,77.16,77.24,72.17,74.41
FCOM,death_st,0,0.1,,72.71,72.84,70.82,70.21
GOOY,death_st,0,0.7,,14.34,14.38,14.13,13.6
NVII,death_st,0,0.2,,26.61,26.74,27.37,24.2
RAAX,death_st,0,0.3,,41.16,41.19,38.19,39.64
VOX,death_st,0,0.2,,192.5,192.74,187.22,185.88
WEAT,death_st,0,0.9,,23.29,23.3,22.39,22.54
HECA,death,0,0.2,,27.5,27.83,27.86,26.98
