symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
USO,golden_cross,0,6.2,,72.28,72.28,True,False,77.47,success
BILS,death_cross,0,0.5,,99.33,99.33,False,True,99.2,success
ICE,death_cross,0,3.1,98.7,165.84,165.88,False,True,163.07,success
LYV,death_cross,0,2.5,33.4,143.93,143.95,False,True,141.34,success
BCE,golden_cross,0,3.1,24.1,24.14,24.12,True,False,26.1,success
TRMB,death_cross,0,1.8,16.2,75.99,76.28,False,True,64.62,success
CF,golden_cross,0,2.3,14.0,84.89,84.87,True,False,92.5,success
PCVX,golden_cross,0,1.4,7.5,48.12,48.12,True,False,55.73,success
TKC,golden_cross,0,1.0,5.7,6.05,6.05,True,False,6.71,success
RSPS,golden_cross,0,0.1,,30.01,29.96,True,False,31.72,success
SPLV,golden_cross,0,3.9,,72.37,72.34,True,False,74.0,success
TBT,golden_cross,0,0.4,,34.46,34.45,True,False,35.15,success
BKLN,death_cross,0,14.0,,20.92,20.92,False,True,20.71,success
CLIP,death_cross,0,0.3,,100.25,100.26,False,True,100.11,success
CWEB,death_cross,0,0.5,,44.5,44.52,False,True,40.39,success
PLTU,death_cross,0,1.6,,73.19,73.22,False,True,56.3,success
SPLB,death_cross,0,3.3,,22.77,22.77,False,True,22.57,success
SPSK,death_cross,0,0.2,,18.35,18.35,False,True,18.193,success
