symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
AAPL,death_st,0,51.6,3821.4,264.77,265.11,251.84,257.46
APH,death_st,0,11.8,167.5,141.78,142.06,123.75,131.87
ARM,death_st,0,6.1,128.1,122.13,122.17,132.76,114.38
MRVL,golden,0,16.8,66.1,80.22,81.34,81.28,89.57
FTNT,golden_st,0,7.4,62.5,81.06,80.99,85.21,83.67
ZTS,death_st,0,4.6,51.6,126.33,126.49,138.43,121.43
F,death_st,0,74.0,49.2,13.45,13.52,12.53,12.15
CCL,death_st,0,22.8,37.6,30.11,30.21,28.33,25.79
VMC,death_st,0,1.2,37.5,302.81,302.88,289.99,274.99
OMC,golden,0,5.7,26.3,80.48,78.32,78.15,84.93
PSTG,death,0,3.8,20.2,67.23,70.22,70.37,60.9
CG,death,0,3.7,18.5,53.62,56.18,56.34,48.9
GPC,death,0,1.5,16.1,124.01,128.55,128.84,115.52
EWBC,death_st,0,1.1,15.2,114.03,114.16,107.18,106.32
MLI,death_st,0,0.9,13.0,119.5,119.67,105.87,114.62
NBIX,death,0,1.2,13.0,131.75,134.99,135.17,128.13
PAC,death_st,0,0.1,12.3,265.19,266.11,242.78,237.35
BF.B,death_st,0,5.7,12.1,28.14,28.19,29.71,25.26
BLD,death_st,0,0.3,11.5,467.47,470.94,424.96,387.24
CNM,death_st,0,2.1,9.9,54.72,54.9,54.27,49.82
TTEK,death_st,0,3.4,9.2,36.16,36.22,35.9,34.87
OC,death_st,0,1.6,9.0,122.45,122.96,131.5,109.75
UMBF,death_st,0,0.6,8.9,121.79,122.01,116.26,113.49
LEVI,death_st,0,2.7,7.9,21.29,21.34,20.66,19.6
HALO,death_st,0,2.1,7.9,71.46,71.68,67.22,67.37
MUSA,golden_st,0,0.4,7.8,404.67,404.61,410.58,438.43
AMTM,death_st,0,2.4,7.5,31.31,31.37,27.57,30.01
GGB,death_st,0,23.5,7.2,3.99,3.99,3.55,3.56
RGEN,death,0,0.8,7.0,134.09,143.93,144.49,119.99
VOYA,death,0,1.1,6.5,71.4,73.05,73.07,67.71
TAL,death,0,4.6,6.3,10.95,11.17,11.18,10.64
FNB,death_st,0,7.2,6.0,17.5,17.5,16.42,16.38
GBCI,death_st,0,1.2,5.8,47.58,47.71,46.34,43.56
BOOT,death_st,0,0.6,5.6,189.26,189.42,177.59,178.14
OZK,death_st,0,1.2,5.1,47.91,47.98,47.65,45.09
LNTH,golden,0,0.9,5.1,72.95,69.34,69.32,72.56
ALK,death_st,0,3.9,5.0,51.03,51.29,51.13,42.3
GGLS,golden_st,0,13.6,,6.85,6.84,8.7,7.12
SDS,golden_st,0,3.9,,68.47,68.44,75.68,71.21
SH,golden_st,0,10.5,,36.13,36.1,37.76,36.87
SJB,golden_st,0,0.3,,15.32,15.31,15.53,15.46
SPXS,golden_st,0,13.1,,35.34,35.27,41.3,37.43
UVXY,golden_st,0,9.8,,40.84,40.51,60.83,54.09
VIXY,golden_st,0,4.6,,28.4,28.06,34.44,34.45
ANGL,death_st,0,0.8,,29.5,29.52,29.33,29.05
BAI,death_st,0,1.5,,34.46,34.46,32.48,32.7
BINC,death_st,0,2.1,,52.97,53.0,52.89,52.47
BKLC,death_st,0,0.2,,131.04,131.16,126.18,128.63
BNDX,death_st,0,5.8,,48.79,48.8,49.1,48.44
BSCS,death_st,0,0.9,,20.59,20.6,20.53,20.565
EUFN,death_st,0,2.6,,36.91,36.96,34.28,34.88
EVSD,death_st,0,0.1,,51.52,51.52,51.36,51.34
