event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2025-12-04,FCX,golden,70.82,70.0,0.82,LOOK,1
2025-12-04,GLBE,golden,54.33,70.0,-15.67,SKIP,2
2025-12-04,V,death,46.64,70.0,-23.36,SKIP,3
2025-12-04,UBSI,golden,41.26,70.0,-28.74,SKIP,4
2025-12-04,GEHC,golden,31.83,70.0,-38.17,SKIP,5
2025-12-04,SRAD,death,29.45,70.0,-40.55,SKIP,6
2025-12-04,JEPI,golden,20.21,70.0,-49.79,SKIP,7
2025-12-04,BRX,death,17.61,70.0,-52.39,SKIP,8
2025-12-04,SCHD,golden,13.44,70.0,-56.56,SKIP,9
2025-12-04,SGOV,death,7.39,70.0,-62.61,SKIP,10
