symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
ABBV,death,0,7.1,362.8,208.48,214.02,214.33,False,True,200.95,False,False,,success
CVNA,golden,0,2.9,57.3,359.82,351.98,350.87,True,False,403.02,False,False,,success
WST,golden,0,0.9,19.8,266.28,257.81,257.49,True,False,309.7,False,False,,success
CR,death,0,0.5,10.7,183.55,185.03,185.13,False,True,180.42,False,False,,success
URBN,golden,0,1.6,6.4,69.37,68.22,68.08,True,False,73.85,False,False,,success
MTG,golden,0,1.8,6.0,27.36,27.04,27.0,True,False,28.77,False,False,,success
ESNT,golden,0,0.7,5.9,61.14,60.72,60.7,True,False,64.55,False,False,,success
BMA,death,0,0.3,5.2,78.28,79.1,79.17,False,True,74.51,False,False,,success
AVL,golden,0,0.4,,47.65,43.45,43.19,True,False,59.42,False,False,,success
COWG,golden,0,0.5,,35.22,34.94,34.92,True,False,36.0626,False,False,,success
FLHY,golden,0,0.5,,24.31,24.31,24.31,True,False,24.38,False,False,,success
METD,death,0,0.3,,15.92,16.18,16.18,False,True,15.3,False,False,,success
EBND,death,0,0.5,,21.13,21.15,21.15,False,True,21.13,False,False,,success
