symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
CRWD,golden,3.2,138.0,471.41,446.36,445.23,546.18
ELV,golden,1.7,82.9,357.63,338.48,337.63,393.3
CPAY,golden,0.5,22.3,318.4,315.48,314.89,338.34
ULTA,death,0.7,22.3,533.34,555.28,555.42,505.2
NBIX,golden,1.3,15.1,138.8,135.08,134.97,155.8
CUBE,golden,2.3,9.2,39.73,39.12,39.12,40.94
ALV,golden,0.8,9.0,116.52,114.75,114.72,119.41
AMTM,death,2.0,5.8,25.65,26.99,27.01,24.31
SMBS,death,1.1,,25.51,25.58,25.59,25.345
