symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
CVX,golden_st,0,9.1,384.3,182.82,182.49,176.33,194.42
AZN,death,0,2.4,263.2,174.93,180.06,180.38,168.27
SHEL,golden_st,0,6.4,242.9,84.03,83.88,81.05,87.95
SU,golden_st,0,4.7,76.4,60.75,60.73,55.43,66.41
VMC,death_st,0,1.1,36.0,288.35,288.59,285.71,274.93
AS,death,0,3.9,20.0,34.78,34.87,34.91,33.3
HRL,golden,0,4.0,13.9,24.88,24.1,24.07,25.02
ALLE,golden_st,3,1.4,12.0,138.54,137.38,146.07,154.57
DBC,golden_st,0,1.0,,28.57,28.56,26.68,30.31
FXN,golden_st,0,2.9,,21.16,21.13,19.64,21.99
GGLS,golden_st,0,1.1,,58.15,58.02,70.14,63.9
PDBC,golden_st,0,7.9,,17.04,17.04,15.92,18.06
QQQI,death_st,0,6.2,,55.2,55.29,53.98,53.34
