symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
AMD,golden_st,34.5,361.2,210.03,210.02,195.35,231.82
HSBC,golden_st,2.4,292.0,83.53,83.4,74.7,90.27
TT,golden_st,1.3,95.6,428.39,428.1,418.15,449.47
ITUB,golden_st,28.8,92.5,8.33,8.31,7.46,8.82
STT,golden_st,2.2,36.6,127.1,126.64,119.35,136.13
ACGL,golden_st,1.8,34.5,95.74,95.7,93.9,98.6
CHTR,golden_st,1.6,27.9,219.99,219.9,251.6,221.63
ASTS,golden_st,13.2,27.1,89.4,89.32,72.49,96.46
SBAC,golden_st,1.4,21.7,188.64,188.55,197.84,218.71
WST,golden_st,0.9,18.7,249.46,249.26,255.7,265.93
IOT,death_st,8.0,17.7,31.25,31.36,35.67,29.3
FTV,golden_st,3.2,17.5,56.08,55.97,54.31,59.38
CIB,golden_st,0.5,17.4,71.54,71.34,62.01,75.36
EXEL,golden_st,2.9,11.4,42.8,42.73,41.56,44.2
GL,golden_st,0.5,11.3,141.0,140.85,136.12,147.85
CART,golden_st,4.1,9.9,38.17,38.16,40.61,39.6
TFII,golden_st,0.4,9.5,109.96,109.74,104.47,120.59
VFS,golden,0.7,9.5,3.58,3.41,3.4,3.98
W,death,3.5,9.1,75.03,81.21,81.25,74.18
EMN,golden,1.7,8.5,72.71,71.93,71.88,74.27
VLY,golden_st,8.0,7.0,12.34,12.33,11.41,12.96
BLTE,golden_st,0.2,6.8,165.23,164.82,129.37,178.73
EAT,golden,1.1,6.5,145.15,146.72,146.58,153.65
JBTM,death,0.7,6.5,132.03,140.7,140.84,130.27
ORLA,golden_st,2.3,6.0,16.39,16.37,13.61,17.73
GOLF,golden_st,0.4,5.5,94.44,94.23,85.91,98.47
RIOT,golden,17.1,5.4,14.07,14.64,14.59,16.11
ST,golden_st,1.7,5.1,35.14,35.06,33.03,37.38
AVAL,golden_st,0.2,5.0,4.26,4.25,3.85,4.41
AIA,golden_st,0.5,,108.39,108.18,97.95,114.57
AVIV,golden_st,0.1,,75.23,75.21,70.1,78.37
COLO,golden_st,0.2,,39.04,38.98,36.14,40.45
CWB,golden_st,1.3,,93.01,92.97,89.85,96.39
DEM,golden_st,0.3,,49.54,49.46,47.38,51.07
DFSV,golden_st,1.7,,35.12,35.07,33.33,36.17
DFUV,golden_st,0.7,,48.77,48.73,46.45,50.0
EMOP,golden_st,0.3,,44.38,44.37,41.31,46.8
EMXC,golden_st,5.4,,79.92,79.78,72.94,84.8
EPOL,golden_st,0.6,,36.24,36.22,33.96,38.58
EPP,golden_st,0.7,,53.71,53.68,51.7,55.82
EWS,golden_st,1.1,,28.13,28.12,27.48,29.05
EWU,golden_st,2.7,,45.91,45.86,43.4,47.82
EWW,golden_st,2.2,,75.07,74.94,68.99,79.11
EWZS,golden_st,0.6,,14.48,14.44,13.65,15.25
FDD,golden_st,0.2,,17.87,17.87,16.73,18.74
FDT,golden_st,0.2,,88.25,88.12,79.84,92.22
FGD,golden_st,0.3,,31.98,31.96,30.01,32.69
ICF,golden_st,0.1,,62.93,62.91,62.0,64.43
JIVE,golden_st,0.3,,85.97,85.76,79.01,89.6759
LABU,golden_st,0.7,,160.83,160.56,134.4,177.29
PXF,golden_st,0.2,,70.43,70.26,64.89,73.43
SCJ,golden_st,0.1,,98.62,98.52,92.92,104.0
SMH,golden_st,10.4,,394.23,392.74,350.64,422.92
TUR,golden_st,0.5,,38.96,38.91,36.57,40.58
VFLO,golden_st,1.0,,39.7,39.69,38.35,40.49
VLUE,golden_st,1.5,,145.56,145.33,134.02,151.65
VPL,golden_st,2.0,,99.43,99.34,92.28,104.92
VYMI,golden_st,1.5,,94.73,94.72,88.73,98.23
XSMO,golden_st,0.3,,77.13,76.94,73.94,81.35
BIL,death_st,12.9,,91.51,91.51,91.55,91.45
EDZ,death_st,0.3,,29.04,29.24,40.05,24.34
HIBS,death_st,0.4,,45.88,45.93,69.15,40.0
SSG,death_st,0.2,,28.63,28.77,41.58,24.95
PLTD,golden_st,67.2,,7.51,7.49,8.69,7.79
AMDL,golden,10.5,,13.2,13.67,13.62,15.77
VTIP,golden,2.6,,49.92,49.86,49.86,50.0
BIV,death,2.6,,77.22,77.56,77.56,77.25
GBIL,death,1.0,,100.04,100.06,100.06,99.98
IBDR,death,0.6,,24.2,24.22,24.22,24.19
JCPB,death,1.6,,47.09,47.28,47.28,47.14
PTLC,death,0.1,,53.42,54.38,54.4,53.49
SGOV,death,20.4,,100.52,100.52,100.52,100.45
UITB,death,0.2,,47.09,47.25,47.25,47.2045
