symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
AMD,golden_st,0,34.5,361.2,210.03,210.02,195.35,False,False,231.82,True,False,0.0,success
HSBC,golden_st,0,2.4,292.0,83.53,83.4,74.7,False,False,90.27,True,False,0.0,success
TT,golden_st,0,1.3,95.6,428.39,428.1,418.15,False,False,449.47,True,False,0.0,success
ITUB,golden_st,0,28.8,92.5,8.33,8.31,7.46,False,False,8.82,True,False,0.0,success
STT,golden_st,0,2.2,36.6,127.1,126.64,119.35,False,False,136.13,True,False,0.0,success
ACGL,golden_st,0,1.8,34.5,95.74,95.7,93.9,False,False,98.6,True,False,0.0,success
CHTR,golden_st,0,1.6,27.9,219.99,219.9,251.6,False,False,221.63,True,False,0.0,success
ASTS,golden_st,0,13.2,27.1,89.4,89.32,72.49,False,False,96.46,True,False,0.0,success
SBAC,golden_st,0,1.4,21.7,188.64,188.55,197.84,False,False,218.71,True,False,0.0,success
WST,golden_st,0,0.9,18.7,249.46,249.26,255.7,False,False,265.93,True,False,0.0,success
IOT,death_st,0,8.0,17.7,31.25,31.36,35.67,False,False,29.3,False,True,0.0,success
FTV,golden_st,0,3.2,17.5,56.08,55.97,54.31,False,False,59.38,True,False,0.0,success
CIB,golden_st,0,0.5,17.4,71.54,71.34,62.01,False,False,75.36,True,False,0.0,success
EXEL,golden_st,0,2.9,11.4,42.8,42.73,41.56,False,False,44.2,True,False,0.0,success
GL,golden_st,0,0.5,11.3,141.0,140.85,136.12,False,False,147.85,True,False,0.0,success
CART,golden_st,0,4.1,9.9,38.17,38.16,40.61,False,False,39.6,True,False,0.0,success
TFII,golden_st,0,0.4,9.5,109.96,109.74,104.47,False,False,120.59,True,False,0.0,success
VLY,golden_st,0,8.0,7.0,12.34,12.33,11.41,False,False,12.96,True,False,0.0,success
BLTE,golden_st,0,0.2,6.8,165.23,164.82,129.37,False,False,178.73,True,False,0.0,success
