symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
VRTX,death,1.2,109.3,434.34,444.51,444.8,424.36
CNC,golden,6.6,26.4,44.79,41.51,41.38,52.98
OZK,golden,1.2,5.2,47.78,47.31,47.29,48.48
DAPP,golden,0.9,,18.52,17.73,17.64,20.76
LSGR,golden,0.1,,42.97,42.36,42.34,43.815
FSMB,death,0.1,,20.0,20.03,20.04,19.975
JBND,death,0.8,,53.7,53.86,53.86,53.4
JPLD,death,0.5,,52.23,52.28,52.28,52.1
TMB,death,0.1,,25.53,25.58,25.58,25.445
BAB,death,0.2,,26.92,27.02,27.02,26.87
FAZ,death,0.8,,44.83,45.66,45.68,44.66
LGOV,death,0.2,,21.62,21.71,21.72,21.47
