symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
PG,golden_st,0,8.4,350.4,146.38,146.04,149.89,152.49
AXP,golden_st,0,3.0,228.8,318.64,317.62,325.54,340.74
CNQ,death_st,0,7.7,91.8,45.86,45.92,40.49,43.3
ABNB,golden_st,0,4.1,82.5,134.65,134.42,131.27,141.2
LYG,golden_st,3,24.0,79.9,5.39,5.37,5.08,5.56
MCO,golden_st,0,1.0,79.3,450.84,450.73,467.22,468.41
EPD,death_st,0,3.6,79.0,37.63,37.68,35.39,36.45
OXY,death_st,0,11.5,54.2,56.89,56.94,51.44,53.67
KDP,golden,5,11.4,43.2,30.53,29.44,29.01,32.0
HSY,death,3,2.0,36.7,184.64,190.41,191.52,182.52
EQT,death,3,6.4,31.7,54.03,56.15,56.62,51.37
DTE,golden_st,2,1.6,30.8,145.09,144.64,140.59,148.85
DOV,golden_st,1,0.8,29.7,216.26,215.75,205.41,222.63
CQP,death_st,0,0.1,29.2,62.93,62.98,60.16,58.8
FTI,death_st,0,5.2,27.3,69.61,69.66,57.92,67.0
SYF,golden,0,3.7,25.1,72.18,72.19,72.15,75.29
RBA,golden,4,1.0,20.6,105.95,104.64,104.08,110.9
USFD,golden_st,0,3.0,20.6,87.44,87.38,84.1,93.22
LECO,golden_st,0,0.3,14.7,262.12,261.73,251.03,273.54
SJM,golden,0,1.9,12.4,107.59,103.69,103.53,115.99
SUN,death_st,0,0.5,12.2,66.18,66.2,61.11,63.54
UHAL,golden,0,0.3,11.8,57.66,54.5,54.3,62.35
RVTY,golden,0,1.5,11.2,99.43,96.84,96.82,101.22
DAR,death_st,0,2.1,8.9,58.8,58.94,49.34,55.18
FRHC,death_st,0,0.2,8.5,143.68,143.83,142.96,135.65
GLNG,death_st,3,1.6,5.2,51.63,51.85,46.57,49.59
BRKU,golden_st,0,0.2,,21.79,21.78,23.21,22.69
KIE,golden_st,2,1.3,,57.1,56.9,57.51,58.79
XRT,golden_st,4,6.0,,84.67,83.98,83.47,87.08
AMLP,death_st,0,1.5,,52.51,52.6,50.89,50.98
FENY,death_st,0,1.9,,31.94,31.96,29.14,30.7
FTXN,death_st,0,1.3,,36.09,36.12,33.05,34.4744
GSG,death_st,0,1.0,,31.77,31.8,27.94,29.66
IXC,death_st,0,1.1,,54.15,54.23,49.21,51.39
KMLM,death_st,0,0.3,,28.54,28.58,27.69,27.745
MLPA,death_st,0,0.2,,53.96,54.01,52.28,52.39
PFIX,death_st,0,0.5,,46.75,46.86,47.74,44.3
VDE,death_st,0,0.7,,162.38,162.49,148.2,155.95
VFH,golden,0,0.6,,128.34,127.19,127.18,133.24
SHLD,death,0,2.0,,64.56,66.69,66.77,63.86
