symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
UNH,golden,8.4,360.0,360.35,333.46,333.1,401.16
T,death,36.3,175.3,25.83,26.43,26.44,24.74
NDAQ,golden,3.2,50.6,89.03,88.32,88.31,90.21
XYZ,golden,5.5,42.9,70.02,66.8,66.72,69.78
NTAP,golden,2.0,22.9,111.2,107.19,106.98,118.58
PHM,death,1.9,21.8,119.48,121.91,122.16,112.97
FUTU,death,1.5,19.2,150.89,152.04,152.05,142.74
GME,death,9.5,10.0,24.0,23.89,23.92,22.08
AN,death,0.4,6.5,201.34,200.53,200.74,191.11
CQQQ,golden,1.1,,51.65,50.68,50.66,56.28
DRSK,golden,0.1,,28.73,28.4,28.39,29.34
IYH,death,0.5,,61.23,61.97,61.98,61.73
JMBS,death,0.6,,45.33,45.46,45.46,45.13
XLV,death,9.2,,145.53,147.52,147.54,146.71
