symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
PFE,golden_st,0,43.2,152.5,25.41,25.32,25.63,27.05
SO,death_st,1,5.2,106.6,94.26,94.52,93.5,91.34
DUK,death_st,1,4.2,97.3,125.52,125.82,124.8,121.19
APO,golden_st,2,4.4,73.4,125.46,124.82,126.87,132.02
BKR,golden_st,0,9.4,61.1,59.88,59.77,56.96,64.07
CTVA,death_st,0,4.2,51.3,82.09,82.24,77.35,76.47
FERG,golden,5,3.3,49.8,241.76,237.47,234.28,263.78
EXC,death_st,3,8.9,47.0,46.06,46.24,46.05,44.5
ODFL,death_st,1,1.7,44.9,220.32,220.77,198.6,212.55
BSBR,golden_st,2,2.6,43.5,5.52,5.47,5.66,5.76
HMC,golden,3,1.4,41.3,29.68,28.39,28.08,31.72
ED,death_st,0,2.2,39.9,109.66,109.69,107.6,106.3
IR,golden,3,4.2,33.7,84.68,81.76,81.16,86.63
AEE,death_st,3,1.7,30.1,110.23,110.67,107.92,107.0
EIX,death_st,0,2.8,26.4,73.44,73.66,68.43,67.83
CMS,death,2,3.6,22.3,72.72,73.69,73.95,69.06
WPC,death_st,0,1.5,16.4,73.17,73.27,70.94,70.66
SFD,death_st,0,1.2,10.0,25.63,25.69,24.93,24.44
ALSN,golden_st,0,1.4,9.8,118.14,117.81,112.03,124.52
OGE,death_st,2,1.4,9.7,47.84,48.02,46.92,46.18
EMN,golden_st,0,1.3,8.4,70.8,70.72,71.21,73.42
NOV,golden_st,4,3.5,7.0,19.71,19.63,18.35,20.7
EPRT,death,0,1.6,6.6,31.26,31.24,31.27,30.18
AMTM,golden_st,0,1.8,6.1,22.73,22.65,24.68,24.44
HRB,golden,3,2.0,5.9,43.46,40.7,40.13,45.93
OBDC,golden_st,0,4.0,5.7,11.07,11.05,11.75,11.55
CNX,golden_st,0,1.8,5.2,34.6,34.54,35.48,35.97
SLM,golden,0,3.0,5.1,26.09,24.92,24.87,27.32
XLY,golden_st,0,8.3,,116.18,116.03,115.51,119.67
