symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
AMZN,death_st,0,42.7,2628.9,248.48,248.89,234.97,232.79
PH,golden_st,0,0.8,120.2,904.28,903.32,870.85,962.14
PGR,golden_st,1,3.3,119.3,201.57,201.04,214.46,207.38
IBN,golden_st,0,7.5,100.2,27.03,26.96,28.73,28.53
FER,golden_st,1,1.7,49.5,67.97,67.75,64.19,70.76
DHI,golden,1,2.3,44.8,150.48,148.52,148.1,155.94
AER,golden_st,0,1.3,22.9,140.72,140.67,135.37,146.85
FOX,death,0,1.9,19.7,54.53,55.99,56.14,44.93
AXS,golden_st,0,0.6,7.4,99.81,99.67,99.92,103.39
AXTA,golden,0,2.9,7.4,32.09,30.7,30.6,34.33
VNO,golden,0,1.8,7.1,35.8,33.26,33.18,37.58
DSGX,death_st,0,0.5,5.8,71.9,72.11,80.35,66.46
PSN,death_st,0,1.2,5.6,55.24,55.52,63.06,48.65
IBB,golden_st,2,1.5,,170.85,170.17,163.45,177.0
DBO,death_st,0,0.8,,20.65,20.68,17.35,18.53
GXPC,death_st,0,0.1,,31.07,31.12,29.54,29.54
IEZ,death_st,0,0.5,,29.87,29.97,26.1,27.88
OIH,death_st,0,0.4,,416.94,417.71,360.81,388.91
SDCI,death_st,0,0.2,,27.47,27.52,25.29,26.5
VFH,golden,2,0.6,,129.25,127.73,127.37,132.15
XLF,golden,0,37.4,,52.67,52.06,52.05,53.7
