event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-06-22,FOX,death,43.87,70.0,-26.13,SKIP,1
2026-06-22,DBO,death_st,41.7,75.0,-33.3,SKIP,2
2026-06-22,PSN,death_st,40.37,75.0,-34.63,SKIP,3
2026-06-22,DSGX,death_st,38.53,75.0,-36.47,SKIP,4
2026-06-22,VNO,golden,36.5,70.0,-33.5,SKIP,5
2026-06-22,AXTA,golden,35.63,70.0,-34.37,SKIP,6
2026-06-22,AMZN,death_st,32.95,75.0,-42.05,SKIP,7
2026-06-22,OIH,death_st,25.45,75.0,-49.55,SKIP,8
2026-06-22,DHI,golden,25.39,70.0,-44.61,SKIP,9
2026-06-22,IEZ,death_st,22.09,75.0,-52.91,SKIP,10
2026-06-22,IBB,golden_st,20.04,75.0,-54.96,SKIP,11
2026-06-22,PGR,golden_st,18.11,75.0,-56.89,SKIP,12
2026-06-22,PH,golden_st,17.46,75.0,-57.54,SKIP,13
2026-06-22,GXPC,death_st,17.0,75.0,-58.0,SKIP,14
2026-06-22,AXS,golden_st,16.01,75.0,-58.99,SKIP,15
2026-06-22,FER,golden_st,16.0,75.0,-59.0,SKIP,16
2026-06-22,AER,golden_st,15.19,75.0,-59.81,SKIP,17
2026-06-22,IBN,golden_st,14.59,75.0,-60.41,SKIP,18
2026-06-22,SDCI,death_st,11.11,75.0,-63.89,SKIP,19
2026-06-22,VFH,golden,6.12,70.0,-63.88,SKIP,20
2026-06-22,XLF,golden,5.35,70.0,-64.65,SKIP,21
