symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
QCOM,golden,20.3,230.9,171.29,154.75,154.6,237.53
DDOG,golden,6.0,71.2,148.07,135.32,134.31,202.32
CRCL,golden,14.3,28.1,107.65,101.38,101.06,131.76
SMMT,death,4.4,14.0,19.49,18.97,18.97,18.66
CACI,death,0.3,10.6,514.01,542.47,542.66,482.57
TFX,golden,0.9,5.9,126.86,122.25,122.04,129.72
SITE,death,0.8,5.4,130.05,133.73,134.03,121.55
RYLD,golden,0.9,,15.44,15.36,15.35,15.67
DIAL,death,0.1,,18.23,18.25,18.25,18.2144
IYH,death,0.5,,61.16,62.01,62.01,60.23
SCIO,death,0.2,,20.69,20.72,20.72,20.7
XLV,death,9.3,,145.37,147.62,147.62,143.04
