symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
MA,death_cross,0,2.8,482.7,553.13,553.24,False,True,538.86,success
SO,death_cross,0,6.7,94.1,90.95,91.15,False,True,84.08,success
FICO,golden_cross,0,0.2,41.5,1703.4,1702.66,True,False,1752.24,success
FMX,golden_cross,0,0.4,35.7,96.3,96.15,True,False,103.55,success
SUI,death_cross,0,0.7,15.2,126.09,126.18,False,True,122.14,success
AR,golden_cross,0,5.7,11.5,34.33,34.26,True,False,37.13,success
EPAM,golden_cross,0,1.1,11.5,177.64,176.73,True,False,211.72,success
CFLT,golden_cross,0,13.4,10.6,23.13,22.97,True,False,30.0,success
WAL,golden_cross,0,0.8,9.1,81.09,80.96,True,False,86.82,success
ONB,golden_cross,0,2.9,8.7,21.44,21.4,True,False,23.26,success
KNX,golden_cross,0,3.1,8.1,45.63,45.5,True,False,51.51,success
GGAL,golden_cross,0,1.9,7.9,47.4,47.37,True,False,50.18,success
BRKR,golden_cross,0,2.7,6.9,42.1,42.01,True,False,46.92,success
MAIN,golden_cross,0,0.5,5.6,59.42,59.34,True,False,62.94,success
RYLD,golden_cross,0,0.6,,15.25,15.25,True,False,15.34,success
ORCX,death_cross,0,2.8,,28.3,28.37,False,True,23.47,success
GDXY,golden_cross,0,0.6,,16.02,16.01,True,False,16.13,success
