symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
MA,death_cross,0,2.8,482.7,,553.13,553.24,538.86
SO,death_cross,0,6.7,94.1,,90.95,91.15,84.08
FICO,golden_cross,0,0.2,41.5,,1703.4,1702.66,1752.24
FMX,golden_cross,0,0.4,35.7,,96.3,96.15,103.55
SUI,death_cross,0,0.7,15.2,,126.09,126.18,122.14
AR,golden_cross,0,5.7,11.5,,34.33,34.26,37.13
EPAM,golden_cross,0,1.1,11.5,,177.64,176.73,211.72
CFLT,golden_cross,0,13.4,10.6,,23.13,22.97,30.0
WAL,golden_cross,0,0.8,9.1,,81.09,80.96,86.82
ONB,golden_cross,0,2.9,8.7,,21.44,21.4,23.26
KNX,golden_cross,0,3.1,8.1,,45.63,45.5,51.51
GGAL,golden_cross,0,1.9,7.9,,47.4,47.37,50.18
BRKR,golden_cross,0,2.7,6.9,,42.1,42.01,46.92
MAIN,golden_cross,0,0.5,5.6,,59.42,59.34,62.94
RYLD,golden_cross,0,0.6,,,15.25,15.25,15.34
ORCX,death_cross,0,2.8,,,28.3,28.37,23.47
GDXY,golden_cross,0,0.6,,,16.02,16.01,16.13
