symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
GILD,death_st,0,5.7,172.0,140.01,140.1,127.98,137.64
BBVA,golden_st,0,2.0,129.4,22.51,22.44,20.51,23.85
NOC,death_st,0,0.7,95.6,688.58,689.58,624.56,665.26
BNS,golden_st,0,2.8,92.4,72.39,72.22,67.57,76.56
TFC,golden_st,0,10.6,61.3,48.25,48.23,47.1,50.57
RKLB,golden_st,0,24.3,47.9,71.45,70.75,59.95,84.8
ROK,golden_st,0,0.9,45.3,385.68,384.66,368.95,415.73
LVS,golden,0,3.5,37.6,54.95,55.66,55.62,57.64
EXPE,golden_st,0,1.9,31.2,239.55,238.47,230.24,265.84
SYF,golden_st,0,3.7,26.1,71.52,71.22,71.78,78.34
ZM,golden_st,0,3.8,25.5,82.53,82.31,82.51,88.02
FUTU,golden_st,0,1.6,23.1,151.93,151.5,152.04,166.93
FWONK,golden_st,0,2.0,22.5,87.68,87.57,92.05,90.48
KOF,golden_st,0,0.2,21.6,101.58,101.55,95.8,103.94
RIVN,golden_st,0,28.2,21.0,15.76,15.74,15.27,17.23
ILMN,golden_st,0,1.5,20.2,127.2,126.93,120.31,134.5
CX,golden_st,0,6.9,16.9,11.52,11.52,10.36,11.97
VTRS,golden_st,0,9.4,16.3,13.79,13.77,12.28,14.68
MGA,golden_st,0,1.7,15.7,56.93,56.73,51.42,60.56
DECK,golden_st,0,2.0,15.4,105.56,105.46,109.87,112.5
H,golden_st,0,0.8,15.4,154.96,154.79,152.42,172.48
MEDP,golden_st,0,0.3,14.7,495.13,494.85,487.05,520.6
LOGI,golden_st,0,1.0,14.5,94.16,93.82,97.08,101.09
OHI,golden_st,0,1.9,13.8,45.82,45.77,43.53,46.82
BEN,golden_st,0,5.0,13.8,25.17,25.13,24.26,27.27
GLPI,golden_st,0,2.2,13.4,46.43,46.38,46.32,47.73
EHC,golden_st,0,1.0,10.5,103.85,103.73,108.28,106.39
FRHC,golden,0,0.1,10.0,149.91,141.19,141.1,160.87
IDCC,golden_st,0,0.5,9.6,343.61,342.12,318.18,373.02
ONB,golden_st,0,3.3,9.0,22.89,22.89,22.54,23.96
CUBE,golden_st,0,2.4,8.9,38.38,38.31,39.19,39.8
COLB,golden_st,0,2.9,8.4,28.42,28.4,27.67,29.63
BIO,golden_st,0,0.3,7.9,282.3,282.3,288.92,299.02
VFC,golden_st,0,6.4,7.9,18.26,18.15,17.33,21.0
STAG,golden_st,0,1.3,7.4,37.87,37.83,37.3,39.75
HXL,golden_st,0,1.2,6.3,83.23,83.08,75.05,88.76
GBCI,golden,0,1.0,6.2,46.67,46.46,46.4,48.94
PTCT,golden_st,0,1.1,5.9,69.69,69.54,66.05,72.43
TKC,golden_st,0,1.4,5.6,6.3,6.29,6.18,6.62
CRSP,golden_st,0,2.1,5.3,52.35,52.26,53.3,57.99
CACC,golden_st,0,0.2,5.3,469.39,467.69,474.27,527.56
BMA,golden,0,0.3,5.2,78.1,79.14,79.14,81.99
ACIO,golden_st,0,0.1,,43.25,43.18,42.87,44.86
AOK,golden_st,0,0.2,,40.41,40.4,40.01,41.13
AOM,golden_st,0,0.2,,48.05,48.03,47.39,49.05
ARKQ,golden_st,0,0.2,,120.54,120.14,111.51,129.82
BAFE,golden_st,0,0.1,,26.4,26.36,26.47,27.7494
BALI,golden_st,0,0.2,,31.59,31.57,31.32,32.86
BBUS,golden_st,0,0.3,,122.05,121.73,119.5,127.97
BKMC,golden_st,0,0.1,,113.5,113.27,110.29,118.1503
CGBL,golden_st,0,1.1,,35.59,35.53,34.85,36.82
CGIE,golden_st,0,0.5,,35.1,35.05,34.15,36.41
COWG,golden_st,0,0.5,,34.71,34.7,34.87,36.274
DAPP,golden_st,0,0.9,,16.9,16.81,17.55,19.38
DFSU,golden_st,0,0.1,,42.79,42.74,42.09,44.927
DGRW,golden_st,0,1.3,,90.47,90.35,88.74,94.03
DSI,golden_st,0,0.2,,126.45,126.35,124.32,133.28
EDIV,golden_st,0,0.2,,40.51,40.47,39.48,41.6803
ESGU,golden_st,0,0.7,,147.2,146.83,144.26,154.41
ESGV,golden_st,0,0.3,,117.7,117.49,116.29,124.62
EWM,golden_st,0,0.4,,28.72,28.71,27.19,29.16
FCOM,golden_st,0,0.1,,71.44,71.26,69.51,75.29
FDN,golden_st,0,0.5,,246.83,246.81,256.39,262.83
FEGE,golden_st,0,0.4,,48.26,48.2,45.53,49.85
