symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
QCOM,death_cross,9.3,159.0,,163.35,163.55,136.3
ICE,golden_cross,3.3,94.0,,165.9,165.89,168.29
CEG,death_cross,3.5,90.7,,320.54,320.76,247.06
TDG,death_cross,0.4,71.4,,1362.4,1363.72,1263.26
XPEV,death_cross,7.5,16.0,,19.72,19.76,16.88
ICLR,death_cross,0.9,12.5,,179.59,179.66,145.39
BROS,death_cross,4.2,6.9,,59.06,59.15,52.42
CWST,golden_cross,0.6,6.6,,100.5,100.42,104.73
HR,death_cross,3.1,5.8,,17.11,17.11,16.72
ETSY,death_cross,3.2,5.2,,57.8,57.83,54.46
GUSH,golden_cross,1.3,,,24.09,24.05,27.13
ITB,golden_cross,3.2,,,103.2,103.08,108.19
AMZU,death_cross,2.3,,,36.49,36.52,31.87
BBAI.WS,death_cross,0.1,,,1.66,1.68,0.7733
CIBR,death_cross,1.1,,,71.7,71.83,64.95
FLOT,death_cross,2.0,,,50.94,50.94,50.91
TSLG,death_cross,27.1,,,9.01,9.01,7.07
REXR,death_cross,2.2,9.6,,40.27,40.31,38.72
