symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
QCOM,death_cross,0,9.3,159.0,163.35,163.55,False,True,136.3,success
ICE,golden_cross,0,3.3,94.0,165.9,165.89,True,False,168.29,success
CEG,death_cross,0,3.5,90.7,320.54,320.76,False,True,247.06,success
TDG,death_cross,0,0.4,71.4,1362.4,1363.72,False,True,1263.26,success
XPEV,death_cross,0,7.5,16.0,19.72,19.76,False,True,16.88,success
ICLR,death_cross,0,0.9,12.5,179.59,179.66,False,True,145.39,success
BROS,death_cross,0,4.2,6.9,59.06,59.15,False,True,52.42,success
CWST,golden_cross,0,0.6,6.6,100.5,100.42,True,False,104.73,success
HR,death_cross,0,3.1,5.8,17.11,17.11,False,True,16.72,success
ETSY,death_cross,0,3.2,5.2,57.8,57.83,False,True,54.46,success
GUSH,golden_cross,0,1.3,,24.09,24.05,True,False,27.13,success
ITB,golden_cross,0,3.2,,103.2,103.08,True,False,108.19,success
AMZU,death_cross,0,2.3,,36.49,36.52,False,True,31.87,success
BBAI.WS,death_cross,0,0.1,,1.66,1.68,False,True,0.7733,success
CIBR,death_cross,0,1.1,,71.7,71.83,False,True,64.95,success
FLOT,death_cross,0,2.0,,50.94,50.94,False,True,50.91,success
TSLG,death_cross,0,27.1,,9.01,9.01,False,True,7.07,success
REXR,death_cross,0,2.2,9.6,40.27,40.31,False,True,38.72,success
