event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-06-02,HODL,death_st,59.05,75.0,-15.95,SKIP,1
2026-06-02,REGN,death,57.33,70.0,-12.67,SKIP,2
2026-06-02,ARKB,death_st,56.1,75.0,-18.9,SKIP,3
2026-06-02,PFGC,golden,55.41,70.0,-14.59,SKIP,4
2026-06-02,BITB,death_st,53.32,75.0,-21.68,SKIP,5
2026-06-02,BTC,death_st,53.32,75.0,-21.68,SKIP,6
2026-06-02,FBTC,death_st,53.32,75.0,-21.68,SKIP,7
2026-06-02,GBTC,death_st,53.32,75.0,-21.68,SKIP,8
2026-06-02,IBIT,death_st,53.32,75.0,-21.68,SKIP,9
2026-06-02,NUVL,death_st,53.08,75.0,-21.92,SKIP,10
2026-06-02,WFG,golden_st,51.06,75.0,-23.94,SKIP,11
2026-06-02,CLOU,golden,48.28,70.0,-21.72,SKIP,12
2026-06-02,EZBC,death_st,48.02,75.0,-26.98,SKIP,13
2026-06-02,BRRR,death_st,47.57,75.0,-27.43,SKIP,14
2026-06-02,PPG,golden_st,43.59,75.0,-31.41,SKIP,15
2026-06-02,TKC,death,39.9,70.0,-30.1,SKIP,16
2026-06-02,HMC,golden_st,39.19,75.0,-35.81,SKIP,17
2026-06-02,PKG,golden_st,36.26,75.0,-38.74,SKIP,18
2026-06-02,PAG,golden,34.78,70.0,-35.22,SKIP,19
2026-06-02,METD,golden_st,33.42,75.0,-41.58,SKIP,20
2026-06-02,PBR.A,death_st,31.71,75.0,-43.29,SKIP,21
2026-06-02,UPS,golden_st,28.16,75.0,-46.84,SKIP,22
2026-06-02,TKO,golden_st,27.39,75.0,-47.61,SKIP,23
2026-06-02,TSN,death_st,26.1,75.0,-48.9,SKIP,24
2026-06-02,AHR,death_st,24.57,75.0,-50.43,SKIP,25
2026-06-02,VICI,death_st,24.4,75.0,-50.6,SKIP,26
2026-06-02,CINF,death_st,23.26,75.0,-51.74,SKIP,27
2026-06-02,AZN,death_st,21.32,75.0,-53.68,SKIP,28
2026-06-02,EPRT,death,21.26,70.0,-48.74,SKIP,29
2026-06-02,VIXM,death,21.26,70.0,-48.74,SKIP,30
2026-06-02,CORN,death_st,20.52,75.0,-54.48,SKIP,31
2026-06-02,KR,death,20.36,70.0,-49.64,SKIP,32
2026-06-02,INCY,death_st,20.1,75.0,-54.9,SKIP,33
2026-06-02,QSR,death_st,18.57,75.0,-56.43,SKIP,34
2026-06-02,IGLD,death,18.43,70.0,-51.57,SKIP,35
2026-06-02,KIE,death_st,14.6,75.0,-60.4,SKIP,36
