symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
BKNG,death_cross,0,0.2,149.7,5163.65,5174.31,False,True,4607.13,success
HON,golden_cross,0,4.5,146.6,210.4,210.12,True,False,235.35,success
ET,golden_cross,0,15.5,63.2,17.29,17.27,True,False,18.37,success
PPG,golden_cross,0,2.2,26.8,108.15,108.05,True,False,125.95,success
WST,death_cross,0,0.9,16.6,259.74,260.3,False,True,237.05,success
CNA,golden_cross,0,0.3,13.2,46.9,46.88,True,False,49.51,success
REXR,golden_cross,0,2.1,9.4,40.33,40.32,True,False,41.39,success
ESAB,golden_cross,0,0.4,7.3,116.96,116.92,True,False,127.61,success
ARW,golden_cross,0,0.5,7.0,118.71,118.23,True,False,137.99,success
OZK,golden_cross,0,1.4,5.4,47.42,47.35,True,False,50.03,success
IYK,golden_cross,0,0.3,,69.01,68.93,True,False,73.4,success
MSFD,golden_cross,0,0.5,,11.9,11.87,True,False,13.3022,success
ARKF,death_cross,0,0.3,,47.76,47.93,False,True,39.36,success
DRSK,death_cross,0,0.2,,28.64,28.66,False,True,28.06,success
KWEB,death_cross,0,24.7,,36.27,36.3,False,True,33.42,success
SOFX,death_cross,0,0.6,,30.06,30.28,False,True,17.09,success
XTEN,death_cross,0,0.1,,46.36,46.36,False,True,45.91,success
