symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BKNG,death_cross,0.2,149.7,,5163.65,5174.31,4607.13
HON,golden_cross,4.5,146.6,,210.4,210.12,235.35
ET,golden_cross,15.5,63.2,,17.29,17.27,18.37
PPG,golden_cross,2.2,26.8,,108.15,108.05,125.95
WST,death_cross,0.9,16.6,,259.74,260.3,237.05
CNA,golden_cross,0.3,13.2,,46.9,46.88,49.51
REXR,golden_cross,2.1,9.4,,40.33,40.32,41.39
ESAB,golden_cross,0.4,7.3,,116.96,116.92,127.61
ARW,golden_cross,0.5,7.0,,118.71,118.23,137.99
OZK,golden_cross,1.4,5.4,,47.42,47.35,50.03
IYK,golden_cross,0.3,,,69.01,68.93,73.4
MSFD,golden_cross,0.5,,,11.9,11.87,13.3022
ARKF,death_cross,0.3,,,47.76,47.93,39.36
DRSK,death_cross,0.2,,,28.64,28.66,28.06
KWEB,death_cross,24.7,,,36.27,36.3,33.42
SOFX,death_cross,0.6,,,30.06,30.28,17.09
XTEN,death_cross,0.1,,,46.36,46.36,45.91
