symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
MUFG,death_st,4.2,185.5,17.65,17.67,15.91,16.73
MFG,death_st,5.3,93.3,8.39,8.39,7.19,7.8
APD,golden,1.5,64.1,279.49,273.77,273.42,289.16
AZO,death_st,0.1,58.9,3672.09,3672.87,3702.06,3488.88
NDAQ,death,5.7,48.6,86.48,88.53,88.59,85.85
AIG,death_st,4.2,41.2,78.08,78.08,78.86,76.54
KDP,death_st,10.6,37.2,28.45,28.46,29.34,27.55
NUE,death_st,1.7,37.2,173.12,173.23,156.07,162.74
ULTA,death_st,0.7,23.8,638.39,642.34,563.87,516.74
FLEX,golden_st,4.1,23.3,63.4,63.39,57.46,64.45
STE,death,1.1,21.0,234.97,244.54,244.76,219.05
LUV,death_st,10.8,19.0,44.99,45.13,38.65,40.23
PFG,death_st,1.8,18.6,91.06,91.23,86.27,86.45
LII,death_st,0.5,16.7,521.23,523.0,536.41,478.86
GFL,death_st,1.5,15.4,43.56,43.57,44.94,42.4
HL,death_st,21.7,13.1,21.89,21.94,15.93,19.88
AIT,death_st,0.3,9.5,271.09,271.89,261.11,256.83
SITM,death_st,0.4,8.6,368.43,369.06,306.21,341.69
MUSA,golden,0.4,8.5,424.28,414.05,413.1,460.0
VMI,death_st,0.2,8.0,438.4,439.41,400.92,409.27
EMN,death,1.7,7.9,72.39,71.64,71.69,69.57
VIPS,death,1.9,7.7,16.57,17.23,17.26,15.93
ZWS,death_st,1.0,7.6,48.29,48.45,45.25,45.19
AAON,death_st,0.9,6.8,92.54,92.69,92.02,81.56
AN,death,0.5,6.4,194.18,200.78,201.22,182.78
OMF,death,1.9,6.1,55.18,58.66,58.94,49.26
GATX,death_st,0.2,6.0,179.86,180.16,169.23,167.25
GXO,death_st,1.5,6.0,57.73,57.83,53.59,52.93
LEA,death_st,0.6,5.8,123.47,123.6,111.87,116.15
UFPI,death,0.3,5.1,98.22,100.56,100.64,89.92
PIPR,death,0.2,5.0,304.19,322.25,323.1,291.29
CANE,golden_st,0.2,,9.47,9.46,10.12,9.63
IBACR,golden_st,0.1,,0.07,0.07,0.07,0.11
MVLL,golden_st,0.4,,20.12,20.02,20.94,22.9551
SRTY,golden_st,2.0,,37.34,37.27,49.02,40.41
TBF,golden_st,0.1,,23.85,23.84,23.97,24.19
TMV,golden_st,1.0,,35.66,35.66,36.12,37.02
TZA,golden_st,125.2,,6.62,6.59,8.55,7.16
VBIL,golden_st,2.2,,75.51,75.51,75.46,75.53
AFK,death_st,0.1,,27.79,27.8,24.6,26.37
AVUS,death_st,0.3,,114.51,114.52,109.06,112.5
BBEU,death_st,0.5,,75.43,75.5,71.24,73.33
BUFR,death_st,1.4,,34.35,34.35,33.3,34.17
CMF,death_st,0.5,,57.78,57.79,57.2,57.5
DUHP,death_st,1.5,,38.54,38.57,37.37,37.84
EDV,death_st,1.1,,66.72,66.73,67.17,65.46
EPHE,death_st,0.2,,26.04,26.11,25.88,24.67
EQWL,death_st,0.1,,120.04,120.1,115.47,118.0
