event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-06-15,SU,death_st,45.58,75.0,-29.42,SKIP,1
2026-06-15,DB,golden_st,45.28,75.0,-29.72,SKIP,2
2026-06-15,KB,golden_st,45.12,75.0,-29.88,SKIP,3
2026-06-15,GOLF,golden_st,42.93,75.0,-32.07,SKIP,4
2026-06-15,BCH,golden_st,42.75,75.0,-32.25,SKIP,5
2026-06-15,ENIC,golden_st,31.37,75.0,-43.63,SKIP,6
2026-06-15,LW,golden_st,30.71,75.0,-44.29,SKIP,7
2026-06-15,MSFT,death_st,25.13,75.0,-49.87,SKIP,8
2026-06-15,XOP,death_st,25.11,75.0,-49.89,SKIP,9
2026-06-15,SONY,death_st,25.1,75.0,-49.9,SKIP,10
2026-06-15,RYN,golden_st,21.42,75.0,-53.58,SKIP,11
2026-06-15,SYY,golden_st,19.76,75.0,-55.24,SKIP,12
2026-06-15,FAZ,death,19.23,70.0,-50.77,SKIP,13
2026-06-15,BCI,death_st,18.77,75.0,-56.23,SKIP,14
2026-06-15,XLB,golden_st,18.58,75.0,-56.42,SKIP,15
2026-06-15,HGER,death_st,16.65,75.0,-58.35,SKIP,16
2026-06-15,BRK.B,golden_st,14.8,75.0,-60.2,SKIP,17
2026-06-15,FTGC,death_st,12.17,75.0,-62.83,SKIP,18
2026-06-15,ABBV,golden,0.0,70.0,-70.0,SKIP,19
2026-06-15,GNTX,golden,0.0,70.0,-70.0,SKIP,20
2026-06-15,XRT,golden,0.0,70.0,-70.0,SKIP,21
