symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
WMT,death_st,0,19.5,922.6,126.22,126.4,116.97,118.9
JPM,death_st,1,8.1,802.0,303.06,303.51,299.66,296.73
BAC,death_st,1,34.0,366.2,51.39,51.43,50.85,50.77
CVX,death_st,0,10.1,363.4,188.38,188.54,174.44,183.03
GE,golden_st,0,6.4,337.8,300.16,299.69,291.31,320.82
SHEL,death_st,2,8.1,233.8,86.41,86.75,80.18,83.83
VZ,golden_st,3,21.8,199.6,47.68,47.56,45.13,48.01
CB,death_st,0,1.6,120.9,324.47,324.78,310.33,316.22
ADP,golden_st,5,2.9,88.7,214.89,213.23,241.39,219.86
WM,death,1,2.1,84.9,220.06,223.9,224.2,214.4
NTES,golden_st,1,1.0,78.7,117.56,117.17,123.48,124.02
AEP,death_st,5,4.1,68.9,130.52,130.77,122.75,127.76
XEL,golden_st,4,5.0,49.6,80.08,79.97,77.56,79.26
FER,golden_st,2,1.4,48.7,68.43,68.35,64.13,68.3
FITB,golden_st,5,5.7,45.3,49.13,48.95,46.98,49.88
AIG,death_st,0,4.5,39.4,76.59,76.69,77.83,74.4
HEI.A,golden_st,0,0.3,36.3,223.67,222.96,232.4,257.36
AMRZ,death,3,2.8,30.1,52.23,54.02,54.17,52.87
CNP,golden_st,3,5.4,27.6,42.55,42.51,40.5,42.22
EIX,golden_st,4,2.7,26.9,70.32,70.13,64.77,70.28
GPN,golden_st,0,3.2,20.7,70.71,70.57,76.33,73.95
THC,death,0,1.6,15.1,185.87,192.28,192.42,173.2
MAA,golden_st,5,0.9,15.0,129.17,128.67,134.05,130.82
ARCC,death_st,5,5.5,13.6,18.79,18.8,19.78,18.81
ELS,death,1,1.5,12.0,62.87,63.46,63.5,62.24
RNR,death_st,2,0.4,12.0,297.41,298.64,281.38,285.63
GDDY,death_st,1,2.1,11.4,87.99,88.14,112.03,85.9
AFG,golden,2,0.4,10.8,133.67,132.25,132.18,132.0
AES,golden_st,2,11.4,10.5,14.54,14.52,14.06,14.69
WTS,golden_st,2,0.3,10.3,302.15,300.79,286.34,311.09
SFD,golden_st,3,1.4,10.2,26.31,26.29,24.5,26.4
UHAL.B,golden_st,0,0.4,9.9,47.17,46.92,49.15,51.85
RRC,death_st,2,3.0,9.2,41.35,41.6,39.58,39.41
FDS,golden_st,0,0.8,8.9,224.85,224.35,271.8,238.9
EMN,golden_st,4,1.2,8.7,73.54,73.09,71.98,76.36
ELPC,death_st,0,0.3,8.5,12.09,12.1,10.49,11.47
NEU,golden,1,0.1,7.1,712.07,684.06,680.62,787.12
LAD,golden_st,0,0.3,6.6,279.07,278.78,298.57,295.62
CWEN,golden_st,0,1.1,6.4,38.72,38.65,35.75,40.63
IFS,golden_st,2,0.3,5.5,47.41,47.16,44.06,48.93
NXST,death,1,0.3,5.4,193.77,200.62,201.07,185.94
ESNT,death_st,0,0.7,5.3,60.82,60.94,60.91,58.34
ARGT,golden_st,0,0.3,,91.52,91.31,89.12,96.05
ARKF,golden_st,0,0.2,,41.4,41.38,44.1,42.19
AUSF,golden_st,4,0.1,,48.98,48.86,47.48,49.35
DIVO,golden_st,4,0.8,,45.72,45.64,44.91,45.98
MISL,golden_st,0,0.8,,46.02,45.97,43.8,49.19
RDTE,golden_st,1,0.1,,28.76,28.73,30.62,28.96
SDY,golden_st,3,0.2,,148.59,148.28,144.65,149.89
BKLN,death_st,4,9.7,,20.54,20.56,20.71,20.49
FTSL,death_st,3,0.2,,45.05,45.08,45.43,44.94
FXE,death_st,4,0.2,,107.64,107.74,107.02,107.5
ILF,death_st,4,2.9,,35.52,35.6,32.52,35.1
SDIV,death_st,2,0.4,,25.49,25.53,24.64,25.12
TDTF,death_st,5,0.2,,24.16,24.18,24.12,24.17
FDN,golden,5,0.6,,268.33,261.28,259.08,278.89
IWP,golden,0,0.7,,137.74,136.1,135.99,142.06
SKYY,golden,3,0.3,,127.97,122.89,121.85,135.01
PMBS,death,4,0.1,,49.3,49.49,49.52,49.4546
REM,death,3,0.5,,22.13,22.23,22.26,22.04
SCMB,death,5,1.2,,25.56,25.63,25.64,25.64
SPMB,death,5,1.4,,22.23,22.31,22.33,22.32
VIXM,death,3,0.3,,15.76,15.9,15.95,15.38
