symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
ANET,death_st,9.0,167.7,134.46,134.58,127.21,129.3
DELL,golden_st,8.9,98.1,125.21,124.62,126.37,153.55
CRH,death_st,4.7,80.4,122.73,122.9,114.21,117.72
URI,death_st,0.7,52.9,865.57,866.49,846.52,820.58
HMC,death_st,1.1,39.1,30.52,30.57,30.61,29.29
SGI,death_st,2.0,18.8,90.75,90.91,83.57,87.42
TLN,death_st,0.9,16.9,369.51,369.7,345.81,353.24
PNFP,death_st,1.7,13.6,96.32,96.51,98.0,92.67
ALV,death_st,0.8,8.9,122.63,122.91,117.21,116.98
APLD,death_st,28.3,7.6,31.66,31.76,24.18,27.93
BYD,death_st,1.0,6.3,84.36,84.37,81.48,82.49
ORA,death_st,0.7,6.3,116.51,116.82,103.18,107.15
CRSP,golden_st,1.7,5.8,54.98,54.67,54.03,60.77
BCI,golden_st,1.5,,21.4,21.4,21.35,22.24
FTGS,golden_st,0.2,,35.72,35.71,34.86,36.0
TSDD,golden_st,33.4,,8.76,8.74,20.83,9.15
VIXM,golden_st,0.3,,15.46,15.45,15.81,15.81
CLOI,death_st,0.3,,52.89,52.9,52.9,52.69
FXY,death_st,0.3,,59.1,59.14,60.34,58.4
HYG,death_st,42.4,,80.81,80.81,80.45,80.28
HYGV,death_st,0.2,,40.84,40.86,40.81,40.5
IBHH,death_st,0.1,,23.69,23.69,23.65,23.54
ICLO,death_st,0.1,,25.58,25.58,25.59,25.55
ISPY,death_st,0.1,,45.8,45.81,44.81,45.47
JAAA,death_st,7.5,,50.66,50.67,50.66,50.44
JNK,death_st,4.0,,97.4,97.41,97.04,96.68
KSA,death_st,0.9,,38.28,38.33,38.74,36.58
PCRB,death_st,0.4,,49.42,49.44,49.25,47.2964
PFFA,death_st,1.0,,21.72,21.73,21.67,21.43
SCYB,death_st,1.2,,26.49,26.5,26.45,26.31
SMST,death_st,0.5,,75.17,75.46,87.12,60.84
SPHY,death_st,5.5,,23.72,23.73,23.7,23.54
TBUX,death_st,0.2,,49.9,49.9,49.86,49.83
XHLF,death_st,0.5,,50.31,50.31,50.3,50.22
BILZ,death_st,0.3,,100.89,100.9,100.96,100.69
JPMpL,death_st,0.2,,19.9,19.9,20.07,19.88
XONE,death_st,0.1,,49.58,49.58,49.58,49.4859
EOG,golden,5.6,66.6,119.25,114.39,114.07,128.65
SOFI,death,63.4,22.6,20.24,22.71,22.78,18.39
DVA,golden,1.3,10.4,142.94,131.91,131.59,153.98
MAT,death,6.4,5.1,18.1,19.11,19.13,16.4
KNF,golden,0.6,5.0,84.46,79.96,79.87,88.78
DRN,golden,0.6,,10.07,9.57,9.55,10.69
MLECW,golden,1.3,,0.03,0.02,0.02,0.0344
XOMO,golden,0.2,,12.95,12.61,12.6,13.23
CLIP,death,0.3,,100.26,100.25,100.25,100.08
PULT,death,0.1,,50.62,50.66,50.66,50.41
STCE,death,0.2,,59.31,63.5,63.64,57.75
TBIL,death,2.1,,49.92,49.93,49.93,49.86
WRB,golden,2.4,27.0,70.79,70.51,70.49,73.24
SGOV,death,16.8,,100.53,100.51,100.52,100.38
