symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
AXP,death,1,2.6,210.4,324.36,330.31,330.87,313.59
BX,death,2,3.6,93.8,131.56,132.03,132.46,126.41
FDX,death,2,1.6,71.9,313.6,320.2,321.53,295.79
RELX,death_st,0,2.0,58.1,34.69,34.69,36.45,33.41
AEE,death,0,1.5,28.3,105.19,107.26,107.36,101.83
HAL,death_st,0,10.8,28.0,35.09,35.1,33.95,33.39
PBA,death_st,4,1.0,27.6,48.02,48.25,45.52,46.39
FE,death,3,3.9,26.2,46.1,46.75,46.9,44.97
PPG,death,1,1.5,23.2,108.49,111.42,111.73,104.93
BCE,death_st,0,3.3,20.6,22.95,22.97,23.46,21.99
GIS,death_st,0,8.7,19.4,37.52,37.53,39.63,35.41
LNT,death,4,2.3,17.0,67.47,69.36,69.92,64.97
APG,death,5,3.3,16.2,38.74,40.0,40.49,37.46
BALL,death_st,4,1.8,15.9,61.45,61.73,59.44,59.71
CX,death,5,6.2,14.5,10.61,11.13,11.3,10.02
AHR,death_st,0,3.3,11.4,54.08,54.13,50.58,52.3
JEF,death,3,2.1,11.0,51.39,52.81,53.4,47.85
GMED,death,4,1.4,9.9,77.42,79.48,80.23,74.29
REXR,golden,4,2.5,8.6,37.74,37.08,36.84,38.72
VNOM,death_st,0,1.6,8.2,43.89,43.93,43.44,41.72
LEVI,death,2,2.3,7.6,20.67,21.74,21.87,19.82
ASB,death_st,2,1.9,5.6,30.32,30.43,28.64,29.36
POR,death,0,1.0,5.6,48.58,49.47,49.5,47.07
KBE,death_st,3,1.2,,67.93,68.21,64.95,66.07
KRE,death_st,4,12.1,,73.91,74.27,70.6,71.99
