symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
RIO,golden_st,3.4,144.4,89.65,89.59,77.93,93.29
VALE,golden_st,31.3,64.5,15.29,15.28,13.13,15.91
O,death_st,6.5,57.0,62.5,62.56,59.93,61.18
EA,golden_st,2.4,50.7,201.35,201.22,189.25,203.87
CHTR,death_st,1.6,27.5,219.64,219.79,253.22,215.88
DOV,death_st,1.2,27.3,211.9,211.93,197.43,208.45
L,death_st,0.7,21.8,107.22,107.24,101.52,106.74
YUMC,death_st,1.9,17.0,51.66,51.73,48.73,48.78
SMMT,golden_st,2.4,13.2,16.42,16.33,18.52,18.96
OHI,death_st,1.9,13.0,45.77,45.8,43.26,43.82
EGP,death_st,0.4,9.8,186.61,186.67,179.43,185.09
AOS,death,1.4,8.8,67.58,70.02,70.02,65.94
SARO,death,4.4,8.4,27.12,28.4,28.47,25.83
EMN,golden_st,1.7,8.3,71.6,71.35,71.68,76.32
LBRDK,death_st,1.0,7.4,51.12,51.14,58.6,50.3
PRMB,death_st,5.9,6.7,19.41,19.44,21.63,18.83
EPRT,death_st,2.4,6.5,31.86,31.92,31.38,30.36
NXST,death_st,0.4,5.6,221.45,223.51,204.53,180.83
FCN,golden_st,0.5,5.3,169.05,168.69,169.31,176.77
ALKS,golden,2.7,5.0,29.75,30.19,30.09,35.36
IBTG,golden_st,0.5,,22.89,22.89,22.89,22.915
KSA,golden_st,1.2,,38.16,38.15,38.58,39.75
NFLU,golden_st,0.3,,30.11,30.01,39.09,32.07
SHLD,death_st,2.3,,73.37,73.38,66.5,70.84
SHMDW,death_st,0.1,,2.09,2.12,1.33,1.59
TBIL,death_st,2.8,,49.93,49.93,49.93,49.86
CLIP,golden,0.3,,100.27,100.25,100.25,100.36
HPEpC,golden,0.1,,62.35,61.85,61.79,64.51
EBND,death,0.6,,20.85,21.15,21.15,20.64
EVSD,death,0.2,,51.15,51.31,51.31,50.94
FBND,death,3.0,,45.82,46.03,46.04,45.62
FELG,death,1.0,,38.2,39.23,39.25,37.49
FLDR,death,0.3,,50.18,50.23,50.24,50.05
HYMB,death,1.3,,24.9,25.02,25.02,24.8
PAAA,death,2.4,,51.32,51.34,51.34,51.18
SVXY,death,3.4,,47.33,49.65,49.77,45.8
TBUX,death,0.2,,49.81,49.85,49.86,49.75
TQQQ,death,111.3,,44.78,47.88,47.97,41.68
USTB,death,0.2,,50.69,50.8,50.8,50.58
UYLD,death,0.2,,51.19,51.21,51.21,51.035
VPLS,death,0.2,,77.66,78.04,78.04,77.5889
BSCS,death,0.8,,20.45,20.51,20.51,20.423
DPST,death,0.7,,96.15,103.45,103.66,96.65
