symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
TD,death_st,2.4,152.5,94.12,94.16,84.68,91.55
SBUX,death_st,8.1,98.9,93.95,94.11,91.27,86.72
GD,death_st,1.3,93.8,351.44,352.0,333.64,340.79
ABNB,death_st,4.5,73.7,129.26,129.32,128.61,123.1
WBD,death_st,28.2,67.9,27.53,27.53,22.25,27.09
HLT,death_st,1.9,67.4,300.12,300.35,282.26,295.87
CNI,death_st,1.9,62.0,103.25,103.29,100.61,101.33
FTNT,death_st,6.3,57.9,81.27,81.37,85.12,79.05
MPWR,death_st,0.5,51.7,1079.59,1080.83,950.38,1002.34
SYY,death_st,3.8,39.2,82.59,82.93,79.44,69.3
VTRS,death_st,11.2,15.0,13.76,13.8,12.07,12.96
GLPI,death_st,2.5,12.4,46.46,46.5,46.28,43.95
ELS,death_st,2.1,12.0,65.02,65.08,63.81,62.52
AMKR,death_st,4.0,11.0,45.87,45.92,37.56,41.25
AHR,death_st,2.7,8.9,49.84,49.9,44.86,46.93
BPOP,death_st,0.5,8.4,132.65,132.76,122.75,130.66
CTRE,death_st,3.5,8.3,38.44,38.48,35.66,36.65
FLR,death_st,3.0,6.5,46.34,46.41,45.45,43.78
HR,death_st,3.5,5.9,17.64,17.68,17.34,16.81
GOLF,death_st,0.4,5.4,94.0,94.06,85.19,91.14
CAR,golden_st,1.1,5.2,114.03,113.47,124.64,135.56
ST,death_st,2.0,5.1,34.89,34.96,32.82,33.39
BILZ,golden_st,0.4,,100.87,100.87,100.93,100.965
EDZ,golden_st,0.3,,29.68,29.48,40.83,33.24
PLTD,golden_st,67.0,,7.51,7.49,8.76,8.01
AIRR,death_st,0.8,,111.51,111.62,100.59,105.91
ASMG,death_st,0.1,,34.29,34.44,26.79,28.75
DES,death_st,0.1,,35.82,35.85,34.56,35.4
DFLV,death_st,1.2,,35.76,35.79,33.99,35.06
EMXC,death_st,5.4,,79.55,79.66,72.45,75.54
EWA,death_st,6.2,,28.09,28.11,27.04,27.14
FDT,death_st,0.1,,87.9,87.99,79.31,83.9191
FNDF,death_st,2.0,,48.67,48.7,44.93,47.53
GRID,death_st,0.6,,165.73,165.82,153.61,157.58
ICVT,death_st,0.7,,102.96,103.06,98.82,99.15
IDEF,death_st,3.6,,34.22,34.33,31.64,31.4166
INCM,death_st,0.3,,28.89,28.89,28.13,28.69
KORU,death_st,1.3,,352.49,352.74,224.99,243.16
PPA,death_st,0.3,,172.01,172.51,157.83,160.11
SCHY,death_st,0.8,,31.57,31.6,29.54,31.06
SMH,death_st,9.9,,390.11,391.18,347.59,362.53
SOXQ,death_st,1.1,,61.0,61.17,54.34,56.22
SOXX,death_st,7.8,,335.58,335.97,297.0,309.79
TUR,death_st,0.5,,38.76,38.84,36.37,37.35
VLUE,death_st,1.5,,144.85,145.08,133.12,138.48
XBIL,death_st,0.1,,50.11,50.11,50.11,50.025
ZMAR,death_st,0.1,,27.59,27.6,27.18,27.4
BCPC,golden_st,0.2,5.3,169.14,169.12,163.58,170.44
PLTR,death,49.0,342.2,149.27,152.29,152.64,137.55
DB,death,3.8,55.0,30.59,33.17,33.23,28.39
CNA,death,0.5,12.1,46.42,47.02,47.05,45.62
SMST,golden,0.3,,60.49,65.44,65.35,69.61
AAPB,death,0.1,,27.39,28.71,28.72,25.65
BSCS,death,0.8,,20.45,20.51,20.52,20.38
DPST,death,0.7,,96.1,103.73,103.75,90.12
FIXD,death,0.3,,43.88,44.15,44.16,43.425
FPE,death,1.6,,17.95,18.11,18.12,17.62
FTHI,death,0.6,,23.1,23.38,23.4,22.45
FXO,death,0.8,,56.62,58.12,58.2,54.93
IWF,death,4.0,,435.46,447.27,447.58,410.91
IWY,death,0.6,,254.09,261.03,261.09,239.9
MGK,death,0.5,,376.04,386.59,386.78,353.49
NVDL,death,10.1,,76.36,80.67,80.83,65.27
QQA,death,0.1,,50.85,51.74,51.78,48.411
SCHJ,death,0.2,,24.73,24.82,24.82,24.662
TSL,death,1.2,,15.31,16.2,16.25,13.75
VONG,death,4.0,,112.09,115.12,115.19,105.72
VUG,death,1.8,,446.96,459.42,460.21,420.01
XTEN,death,0.2,,46.01,46.27,46.29,45.78
XYLD,death,1.5,,39.58,40.07,40.08,38.36
BILS,golden,0.5,,99.33,99.32,99.32,99.42
TBIL,death,2.8,,49.93,49.93,49.93,49.86
