symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
PANW,golden,0,7.8,193.2,198.86,183.5,182.23,242.83
MLM,death,0,0.5,34.5,596.12,607.42,608.34,558.66
NRG,death,0,2.8,28.4,145.66,151.8,152.49,127.81
PHG,death,0,1.2,24.3,26.79,27.54,27.6,25.23
AS,death,0,3.6,19.4,34.64,35.03,35.08,32.84
QXO,death,0,16.3,12.6,19.16,20.33,20.4,16.33
SF,death,0,1.4,11.5,76.38,76.82,76.87,74.33
SSB,death,0,0.9,9.1,95.48,96.02,96.03,92.22
CUBE,death,0,2.2,9.0,39.61,39.14,39.14,38.36
EDU,death,0,0.8,8.3,53.69,54.79,54.8,50.9
HACK,golden,0,0.1,,82.7,80.14,80.04,88.55
QCMU,golden,0,0.4,,28.26,23.21,22.97,32.32
EUAD,death,0,0.6,,40.65,41.88,41.99,37.64
HFSI,death,0,0.1,,35.2,35.24,35.24,35.0
