symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
PEP,death_st,0,6.8,207.4,156.43,156.61,150.51,False,False,150.83,False,True,0.0,success
BUD,death_st,0,2.4,134.5,71.64,71.84,66.7,False,False,67.94,False,True,0.0,success
ITUB,death_st,0,29.4,90.5,8.29,8.3,7.39,False,False,7.96,False,True,0.0,success
CL,death_st,0,6.6,68.5,88.85,89.02,86.28,False,False,84.14,False,True,0.0,success
VALE,death_st,0,34.9,64.6,15.26,15.27,13.07,False,False,14.95,False,True,0.0,success
CCJ,death_st,0,3.8,47.5,111.0,111.34,93.46,False,False,104.67,False,True,0.0,success
PEG,death_st,0,3.0,40.4,82.47,82.51,82.42,False,False,80.5,False,True,0.0,success
KVUE,death_st,0,30.4,33.8,17.81,17.83,18.59,False,False,17.57,False,True,0.0,success
FTAI,death_st,0,1.9,25.3,252.99,253.37,202.54,False,False,239.95,False,True,0.0,success
OMC,death_st,0,5.8,23.5,77.81,77.88,78.17,False,False,75.31,False,True,0.0,success
TSN,golden_st,0,3.3,21.6,61.44,61.43,58.74,False,False,62.96,True,False,0.0,success
SNA,death_st,0,0.4,19.1,368.68,368.71,352.16,False,False,362.0,False,True,0.0,success
THC,death_st,0,1.1,17.4,214.38,214.4,195.67,False,False,195.46,False,True,0.0,success
WPC,death_st,0,1.4,15.2,70.14,70.21,67.03,False,False,67.62,False,True,0.0,success
SUZ,death_st,0,4.2,12.1,10.12,10.12,9.71,False,False,9.62,False,True,0.0,success
DOC,death_st,0,8.4,11.7,17.16,17.18,17.73,False,False,16.79,False,True,0.0,success
AG,death_st,0,23.4,10.2,22.5,22.54,16.33,False,False,19.32,False,True,0.0,success
BVN,death_st,0,1.8,8.4,35.05,35.11,27.47,False,False,32.46,False,True,0.0,success
HXL,death_st,0,1.3,6.2,83.31,83.41,73.79,False,False,80.54,False,True,0.0,success
WH,golden_st,0,1.5,6.0,78.06,78.04,80.67,False,False,80.59,True,False,0.0,success
GVA,death_st,0,0.7,5.3,123.43,123.67,112.0,False,False,118.83,False,True,0.0,success
TGTX,golden_st,0,2.0,5.1,30.01,29.94,31.59,False,False,31.98,True,False,0.0,success
HPEpC,golden_st,0,0.2,,61.88,61.6,61.8,False,False,67.98,True,False,0.0,success
NVDS,golden_st,0,0.5,,28.68,28.68,37.13,False,False,30.598,True,False,0.0,success
PFIX,golden_st,0,0.8,,45.82,45.69,48.24,False,False,48.83,True,False,0.0,success
SMCZ,golden_st,0,0.3,,42.22,42.01,54.04,False,False,49.27,True,False,0.0,success
XBIL,golden_st,0,0.1,,50.11,50.11,50.11,True,False,50.15,True,False,0.0,success
DHCNI,death_st,0,0.2,,17.2,17.23,16.78,False,False,16.58,False,True,0.0,success
DUSB,death_st,0,0.2,,50.76,50.76,50.76,False,True,50.67,False,True,0.0,success
EPP,death_st,0,0.7,,53.69,53.71,51.54,False,False,51.97,False,True,0.0,success
EWC,death_st,0,3.2,,55.26,55.32,51.59,False,False,53.71,False,True,0.0,success
EWH,death_st,0,7.3,,22.95,22.96,21.66,False,False,22.57,False,True,0.0,success
FGD,death_st,0,0.3,,31.92,31.95,29.84,False,False,31.17,False,True,0.0,success
FIDU,death_st,0,0.1,,89.29,89.44,84.07,False,False,86.24,False,True,0.0,success
FRDM,death_st,0,0.5,,56.44,56.45,49.53,False,False,53.62,False,True,0.0,success
