symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BK,death_st,3.7,80.6,117.95,117.98,108.24,117.12
LYG,death_st,24.1,78.6,5.47,5.49,4.85,5.14
EMR,death_st,3.9,78.4,144.72,144.96,136.16,132.18
KMB,death_st,5.6,33.2,104.64,104.81,114.3,97.82
NTRS,death_st,1.2,26.2,142.78,143.02,131.88,137.3
CFG,death_st,5.6,24.9,60.88,61.06,54.62,56.94
EQR,death_st,2.8,22.7,62.39,62.4,64.0,60.27
CNC,death_st,6.6,17.6,41.21,41.53,42.23,34.57
RS,death_st,0.4,15.9,315.88,316.32,302.25,299.28
SN,death_st,1.8,15.6,117.01,117.44,109.39,101.68
BSAC,death_st,0.4,15.2,33.31,33.43,29.33,30.57
QXO,death_st,6.9,15.0,22.85,22.92,20.56,19.5
NIO,golden_st,50.2,13.8,5.05,5.04,5.23,5.55
AVY,death_st,0.7,13.4,185.16,185.8,180.93,171.01
HRL,death_st,5.0,12.7,24.17,24.2,25.51,22.7
JHX,death_st,6.4,11.9,22.67,22.79,23.29,19.66
RGC,death_st,0.1,11.7,26.07,26.08,19.13,24.0
WMS,death_st,0.8,11.5,157.81,158.04,145.18,139.03
SWK,death_st,2.1,11.4,80.75,81.1,77.32,71.09
AMKR,death_st,4.9,10.9,45.86,45.89,36.63,41.27
EHC,death_st,1.3,10.0,105.59,105.88,109.8,100.3
ARWR,death_st,3.2,8.1,62.0,62.3,46.08,55.01
CYTK,death_st,1.9,7.8,63.29,63.46,56.43,60.0
AMG,death_st,0.5,7.5,297.68,298.79,259.02,270.43
AXS,death_st,0.7,7.4,102.93,103.03,99.65,100.61
GKOS,death_st,0.8,6.0,111.57,112.18,106.2,97.79
SITE,death_st,0.7,6.0,140.46,140.99,135.28,130.36
HUT,death_st,5.0,5.7,51.95,52.1,40.8,48.54
REZI,death_st,1.5,5.3,35.99,36.04,32.96,33.55
AVIG,death_st,0.2,,42.08,42.09,41.85,41.55
BLV,death_st,1.0,,70.23,70.26,70.08,68.7
BOND,death_st,0.5,,93.56,93.6,93.02,92.51
BOTZ,death_st,1.0,,37.27,37.35,35.55,35.59
BSCU,death_st,0.6,,16.92,16.93,16.85,16.75
BSCW,death_st,0.3,,20.9,20.91,20.78,20.635
BSCX,death_st,0.2,,21.48,21.49,21.36,21.215
BSCY,death_st,0.2,,21.04,21.06,20.92,20.74
CGGE,death_st,0.9,,32.16,32.19,30.72,31.16
CGGO,death_st,1.4,,35.75,35.76,34.05,34.5
CGUI,death_st,0.1,,25.35,25.35,25.32,25.315
DFGP,death_st,0.2,,54.63,54.65,54.59,53.925
EFAA,death_st,0.1,,55.01,55.12,53.29,53.11
EFG,death_st,3.3,,118.4,118.44,114.12,114.255
EMB,death_st,11.3,,96.51,96.58,95.03,94.84
EZU,death_st,2.2,,65.72,65.84,62.23,62.99
FBND,death_st,3.1,,46.26,46.28,46.1,45.81
FHLC,death_st,0.2,,74.12,74.25,71.12,71.59
FISR,death_st,0.1,,26.01,26.02,25.93,25.68
FIXD,death_st,0.3,,44.42,44.44,44.23,43.86
FLQM,death_st,0.1,,57.26,57.35,56.32,55.03
FPAG,death_st,0.1,,38.35,38.39,36.27,36.52
FTCB,death_st,0.7,,21.27,21.28,21.2,21.05
FTRB,death_st,0.1,,25.49,25.49,25.37,25.22
GTO,death_st,0.3,,47.57,47.59,47.35,47.065
GVI,death_st,0.2,,107.47,107.49,107.04,106.66
IBCA,death_st,0.1,,25.99,26.01,25.81,25.59
IBDX,death_st,0.4,,25.58,25.6,25.44,25.24
IBDY,death_st,0.2,,26.18,26.2,26.03,25.82
IBTJ,death_st,0.3,,21.96,21.96,21.9,21.835
IJJ,death_st,0.2,,137.34,137.35,131.83,130.9
IUSB,death_st,3.3,,46.73,46.74,46.49,46.25
IWM,death_st,45.8,,258.03,258.1,243.66,247.41
IXJ,death_st,0.4,,98.45,98.53,94.37,94.78
IXN,death_st,0.3,,106.04,106.17,100.71,103.7
JPEF,death_st,0.2,,75.05,75.12,73.11,73.5442
JQUA,death_st,1.2,,63.69,63.73,62.17,62.33
MFSB,death_st,0.2,,25.3,25.31,25.18,25.0251
PILL,death_st,0.1,,11.88,11.94,9.92,10.17
PRFZ,death_st,0.1,,47.74,47.75,45.4,45.65
RDVY,death_st,1.7,,71.11,71.19,67.7,68.43
SCCR,death_st,0.2,,25.95,25.95,25.79,25.66
SCHZ,death_st,2.2,,23.47,23.47,23.35,23.21
SHYM,death_st,0.2,,22.34,22.35,22.34,22.12
SMLF,death_st,0.4,,77.65,77.69,74.13,74.43
SMTH,death_st,0.3,,26.14,26.15,26.05,25.855
TpC,death_st,0.1,,19.32,19.32,19.44,19.1
UBND,death_st,0.2,,22.06,22.06,21.96,21.795
URAA,death_st,0.1,,43.57,43.62,37.21,40.33
URTH,death_st,0.5,,187.99,188.1,180.26,183.15
VCRB,death_st,0.7,,78.27,78.29,77.95,77.38
VIGI,death_st,0.6,,92.91,93.03,90.57,89.5
VPLS,death_st,0.2,,78.47,78.51,78.16,77.545
VTWO,death_st,4.8,,104.3,104.33,98.52,100.03
WFCpA,death_st,0.1,,19.39,19.4,19.44,19.1
XEMD,death_st,0.1,,44.86,44.87,44.1,44.24
XLV,death_st,15.4,,155.26,155.28,148.78,150.16
XMHQ,death_st,0.3,,106.07,106.26,103.69,101.96
XYLD,death_st,1.3,,40.58,40.59,40.16,40.0
LOAR,death_st,1.2,6.6,68.73,69.05,73.25,63.03
TSMY,death_st,0.2,,16.33,16.34,16.38,15.22
CBRE,death,3.0,39.1,144.0,151.79,151.89,131.84
RVTY,death,1.4,10.0,95.57,98.84,99.05,84.76
CNM,death,2.1,9.3,52.89,54.02,54.06,47.63
NCLH,death,25.3,9.3,21.79,22.1,22.15,19.46
TECH,death,2.6,8.4,57.15,59.81,59.93,51.47
