symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
AAPL,golden_st,0,53.6,3884.3,265.08,265.04,250.25,266.18
MS,death_st,0,8.1,277.7,176.61,176.83,159.55,166.8
T,golden,0,47.5,195.9,27.05,26.04,25.99,28.52
NTES,death,0,0.8,75.0,123.9,130.21,130.23,116.33
OKE,golden,0,4.7,55.0,82.63,78.62,78.42,87.33
ZTS,death_st,0,4.8,54.4,126.36,126.39,139.53,125.79
CHT,golden,0,0.2,33.1,42.41,42.25,42.24,42.86
RDDT,death,0,6.5,28.7,162.68,187.24,187.5,142.46
GPC,death_st,0,1.4,16.4,133.48,133.49,130.8,116.16
COMP,death_st,0,22.0,7.5,11.23,11.24,9.43,9.08
LAD,death,0,0.3,7.1,314.24,321.4,321.94,284.97
ICL,death_st,0,1.5,7.0,5.51,5.52,5.77,5.28
VOYA,death_st,0,1.0,7.0,74.69,74.79,73.36,69.22
TAL,death_st,0,4.6,6.7,11.36,11.38,11.22,10.6
PATH,death,0,29.0,5.8,12.29,13.65,13.75,10.17
RGTI,death,0,31.4,5.3,17.98,21.2,21.24,16.02
PTGX,golden_st,0,0.7,5.2,83.34,83.24,71.28,86.59
REYN,golden_st,0,1.1,5.1,23.64,23.63,23.87,24.67
INGM,death_st,0,0.4,5.1,21.4,21.41,21.17,20.76
CRSP,golden,0,1.7,5.1,52.43,53.7,53.7,53.98
BUXX,golden_st,0,0.3,,20.3,20.3,20.32,20.325
CLIP,golden_st,0,0.3,,100.24,100.24,100.25,100.32
FLIA,golden_st,0,0.1,,20.39,20.38,20.45,20.49
IBHH,golden_st,0,0.1,,23.7,23.7,23.65,23.74
TBIL,golden_st,0,2.0,,49.94,49.94,49.93,49.98
BSJR,death_st,0,0.2,,22.62,22.62,22.63,22.5378
GARP,death_st,0,0.3,,68.32,68.36,64.62,67.14
GGLL,death_st,0,1.9,,98.53,98.54,75.34,93.88
GPIX,death_st,0,0.8,,52.69,52.69,51.45,52.39
JPMpL,death_st,0,0.2,,19.9,19.9,20.08,19.84
MODL,death_st,0,0.1,,47.37,47.39,45.44,46.88
MORT,death_st,0,1.8,,10.82,10.83,10.76,10.61
SECT,death_st,0,0.1,,64.35,64.39,61.58,63.61
SPXL,death_st,0,2.9,,222.52,222.52,203.69,216.62
UDN,death_st,0,0.3,,18.43,18.43,18.42,18.38
UPRO,death_st,0,4.6,,116.76,116.82,107.08,113.66
PCGpX,golden,0,0.2,,42.61,41.48,41.43,45.1
SPTL,golden,0,7.1,,26.83,26.75,26.74,27.17
ICLO,death,0,0.2,,25.6,25.59,25.59,25.51
