symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BN,death,4,4.2,93.1,42.97,43.36,43.58,41.97
BAM,golden,3,2.5,83.5,51.62,49.85,49.6,52.31
HON,death_st,0,3.2,68.4,230.05,230.46,222.21,214.77
AJG,golden,2,1.3,67.6,254.57,245.43,243.72,271.99
TEL,death,3,2.5,58.9,208.36,208.14,208.81,202.41
SRE,death,4,3.6,54.2,86.83,89.0,89.53,84.57
DEO,golden,0,1.2,52.6,91.72,88.01,87.89,96.07
EXC,death,3,7.4,45.1,45.4,45.85,46.0,44.34
HLN,golden,0,10.0,44.0,9.87,9.75,9.75,10.16
KMB,golden,3,3.3,36.4,109.45,107.9,107.7,111.37
ATO,death,5,1.0,28.2,171.17,173.24,173.89,167.82
AWK,golden,4,2.3,26.9,135.71,133.56,132.96,139.91
XYL,death_st,0,1.9,26.5,117.79,117.86,122.59,114.18
VLTO,golden,3,1.6,24.1,96.88,93.96,93.27,99.37
COO,golden,3,1.8,14.9,74.78,72.4,71.94,75.8
SUZ,golden_st,0,3.2,10.8,8.31,8.31,8.85,9.07
TTEK,golden,5,3.0,9.5,35.01,33.03,32.42,36.86
SFD,death,0,1.4,8.8,23.74,24.67,24.7,22.31
MGY,golden,5,5.9,6.7,26.42,26.43,26.24,27.22
CHDN,golden_st,5,1.0,6.5,88.96,88.03,92.13,90.71
