symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
BDX,golden_cross,0,1.9,59.1,195.95,195.71,True,False,208.35,success
GWW,golden_cross,0,0.3,50.1,1002.3,1001.92,True,False,1063.3,success
FANG,golden_cross,0,1.9,44.0,148.91,148.91,True,False,150.82,success
STM,golden_cross,0,6.0,24.8,26.41,26.39,True,False,28.0,success
IEX,golden_cross,0,0.6,14.3,177.73,177.28,True,False,195.3,success
NIO,death_cross,0,42.3,11.5,5.32,5.33,False,True,4.64,success
SSB,golden_cross,0,0.7,9.8,94.74,94.7,True,False,98.99,success
SFD,golden_cross,0,0.8,9.2,22.37,22.37,True,False,23.41,success
SSD,golden_cross,0,0.3,7.6,171.14,170.83,True,False,187.78,success
MSA,golden_cross,0,0.3,7.1,165.86,165.76,True,False,183.03,success
FCN,golden_cross,0,0.3,5.4,170.91,170.8,True,False,177.57,success
MORT,golden_cross,0,0.7,,10.74,10.73,True,False,11.2,success
USFR,golden_cross,0,3.9,,50.35,50.35,True,False,50.39,success
XOP,golden_cross,0,2.9,,129.05,129.04,True,False,130.28,success
BITI,death_cross,0,2.4,,21.86,21.87,False,True,21.23,success
