symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
DIS,golden_cross,0,13.1,200.6,,109.88,109.82,113.22
NXPI,golden_cross,0,3.1,57.6,,216.6,216.32,225.98
JEF,golden_cross,0,1.8,13.1,,58.76,58.67,63.47
CFR,golden_cross,0,0.5,8.3,,126.26,126.17,129.31
GNRC,death_cross,0,1.1,8.2,,158.34,158.59,139.87
LW,death_cross,0,2.5,5.9,,57.65,57.95,41.8
ANF,golden_cross,0,2.5,5.7,,94.05,93.47,123.81
ETSY,death_cross,0,3.6,5.5,,57.58,57.63,55.04
BILS,death_cross,0,0.4,,,99.31,99.32,99.13
ETH,death_cross,0,8.6,,,31.1,31.17,28.02
GDLC,death_cross,0,0.2,,,45.75,45.82,41.4
VGLT,death_cross,0,2.0,,,56.58,56.6,55.86
DFGR,death_cross,0,0.5,,,26.87,26.88,26.32
