symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
COST,golden_cross,0,2.6,431.1,,939.57,938.53,978.14
VZ,golden_cross,0,35.9,199.8,,42.14,41.99,48.97
ICE,death_cross,0,3.8,93.6,,165.55,165.83,151.99
CNI,golden_cross,0,1.5,64.9,,98.99,98.93,106.32
HMC,golden_cross,0,1.2,40.5,,30.68,30.65,32.4
LYV,golden_cross,0,2.5,34.7,,144.22,144.17,151.11
WTW,death_cross,0,0.8,27.6,,321.59,321.99,280.09
CMS,golden_cross,0,3.0,22.4,,71.68,71.67,74.52
PNR,death_cross,0,2.0,16.1,,103.57,103.58,100.52
ELS,golden_cross,0,1.8,12.8,,62.84,62.83,65.95
IONQ,death_cross,0,20.7,12.6,,45.3,45.33,33.61
ARMK,golden_cross,0,3.5,10.8,,38.62,38.56,42.19
NEU,death_cross,0,0.2,6.8,,706.48,706.68,697.76
G,death_cross,0,2.1,6.7,,43.87,44.07,37.18
FREL,golden_cross,0,0.6,,,27.49,27.47,28.38
FUMB,golden_cross,0,0.1,,,20.1,20.1,20.13
SBIT,golden_cross,0,2.8,,,45.88,45.43,63.78
SCHH,golden_cross,0,9.7,,,21.39,21.37,22.46
ARKW,death_cross,0,0.2,,,144.41,144.55,125.67
CLOI,death_cross,0,0.3,,,52.9,52.9,52.88
FDN,death_cross,0,0.4,,,262.72,262.99,243.03
XOVR,death_cross,0,0.8,,,19.34,19.39,17.63
