symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
JPM,golden_st,2,8.6,833.6,305.07,304.23,300.48,312.7
ABBV,golden,0,5.9,394.1,216.45,213.81,213.65,225.42
TJX,golden_st,1,6.1,176.5,156.91,156.34,150.38,164.87
CME,death,0,3.0,91.1,271.67,282.57,282.91,255.94
MMM,golden_st,5,3.8,80.2,151.5,150.66,154.25,156.39
TDG,golden_st,0,0.4,67.5,1221.71,1220.0,1282.43,1257.24
RACE,golden_st,0,0.7,61.9,344.52,344.24,375.05,357.52
HEI,golden,0,0.8,45.2,315.48,304.5,304.08,326.42
JD,death_st,0,10.0,38.6,29.85,29.88,30.64,28.73
ACGL,death,3,2.6,31.3,91.76,93.54,93.88,90.41
PPG,golden,0,1.9,25.2,110.78,109.7,109.53,116.36
WSM,golden,2,1.2,23.8,197.11,192.37,191.36,213.17
DGX,golden_st,1,0.8,21.8,195.15,194.58,188.87,204.53
SNA,golden_st,2,0.3,19.7,374.4,373.05,360.58,387.26
BEKE,death_st,0,5.6,18.0,16.9,16.94,17.3,15.97
SOLV,golden,0,2.2,13.6,76.68,73.8,73.58,82.46
RPM,golden_st,0,0.8,13.4,103.33,103.2,107.87,107.41
CNM,golden_st,0,2.0,9.8,50.05,50.01,52.28,52.65
ENSG,death,0,0.6,9.1,169.92,179.22,179.72,155.25
CTRE,death_st,0,2.4,8.7,39.41,39.49,37.12,37.7
EPRT,death,5,1.8,6.5,30.63,31.11,31.3,30.36
BKH,death_st,3,1.0,5.5,72.57,72.97,69.65,67.78
OZK,golden,5,1.0,5.4,48.55,47.97,47.7,50.72
BTCO,death_st,5,0.1,,70.29,73.05,83.6,61.75
FCG,death_st,0,1.0,,29.52,29.57,27.1,28.47
GDE,death_st,0,0.2,,67.35,67.44,62.66,63.64
GNR,death_st,0,0.3,,73.28,73.41,67.65,70.82
NUKZ,death_st,0,0.1,,70.8,70.84,66.78,67.1
RSPH,golden,0,0.2,,31.14,30.99,30.95,32.42
XLV,golden,2,10.7,,149.2,148.49,148.11,154.57
XOVR,golden,5,5.3,,19.7,19.06,18.89,19.87
FAZ,death,1,0.5,,44.52,45.06,45.18,42.62
IAUI,death,0,0.2,,54.45,55.84,55.85,51.88
