event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-06-09,BTCO,death_st,51.47,75.0,-23.53,SKIP,1
2026-06-09,RPM,golden_st,46.15,75.0,-28.85,SKIP,2
2026-06-09,CNM,golden_st,43.18,75.0,-31.82,SKIP,3
2026-06-09,TDG,golden_st,42.68,75.0,-32.32,SKIP,4
2026-06-09,BEKE,death_st,40.4,75.0,-34.6,SKIP,5
2026-06-09,RACE,golden_st,38.33,75.0,-36.67,SKIP,6
2026-06-09,TJX,golden_st,37.63,75.0,-37.37,SKIP,7
2026-06-09,ACGL,death,32.53,70.0,-37.47,SKIP,8
2026-06-09,JD,death_st,30.97,75.0,-44.03,SKIP,9
2026-06-09,CTRE,death_st,29.94,75.0,-45.06,SKIP,10
2026-06-09,MMM,golden_st,26.0,75.0,-49.0,SKIP,11
2026-06-09,SNA,golden_st,25.83,75.0,-49.17,SKIP,12
2026-06-09,DGX,golden_st,24.13,75.0,-50.87,SKIP,13
2026-06-09,JPM,golden_st,23.38,75.0,-51.62,SKIP,14
2026-06-09,BKH,death_st,20.46,75.0,-54.54,SKIP,15
2026-06-09,CME,death,20.36,70.0,-49.64,SKIP,16
2026-06-09,IAUI,death,20.0,70.0,-50.0,SKIP,17
2026-06-09,GDE,death_st,19.97,75.0,-55.03,SKIP,18
2026-06-09,ENSG,death,19.77,70.0,-50.23,SKIP,19
2026-06-09,NUKZ,death_st,18.47,75.0,-56.53,SKIP,20
2026-06-09,EPRT,death,18.2,70.0,-51.8,SKIP,21
2026-06-09,FAZ,death,17.42,70.0,-52.58,SKIP,22
2026-06-09,FCG,death_st,17.05,75.0,-57.95,SKIP,23
2026-06-09,GNR,death_st,14.19,75.0,-60.81,SKIP,24
2026-06-09,ABBV,golden,0.0,70.0,-70.0,SKIP,25
2026-06-09,HEI,golden,0.0,70.0,-70.0,SKIP,26
2026-06-09,OZK,golden,0.0,70.0,-70.0,SKIP,27
2026-06-09,PPG,golden,0.0,70.0,-70.0,SKIP,28
2026-06-09,RSPH,golden,0.0,70.0,-70.0,SKIP,29
2026-06-09,SOLV,golden,0.0,70.0,-70.0,SKIP,30
2026-06-09,WSM,golden,0.0,70.0,-70.0,SKIP,31
2026-06-09,XLV,golden,0.0,70.0,-70.0,SKIP,32
2026-06-09,XOVR,golden,0.0,70.0,-70.0,SKIP,33
