symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
NTR,death_st,4,2.6,31.9,67.12,67.38,66.6,64.42
ATO,death_st,4,1.1,29.1,174.57,175.37,174.31,170.19
CMS,death,0,3.6,22.3,73.09,73.88,73.93,71.03
RPM,golden,0,1.0,14.8,110.02,107.72,107.7,117.36
AM,death_st,1,2.3,10.2,21.96,22.01,20.89,21.27
LW,golden,0,1.9,7.2,50.54,47.87,47.74,52.27
STAG,death_st,0,1.8,7.1,38.9,38.92,38.07,37.3
FLG,death_st,1,4.8,5.9,14.37,14.4,13.58,13.95
ACWX,golden_st,5,1.8,,75.52,75.11,71.39,77.41
AVDV,golden_st,1,1.0,,105.5,105.26,100.3,109.63
IWF,golden_st,0,4.9,,121.0,120.96,117.15,124.6
IXUS,golden_st,3,1.7,,94.95,94.54,90.1,97.34
IYZ,golden_st,0,1.2,,41.73,41.69,38.76,43.6
MCHI,golden_st,2,3.0,,54.76,54.57,56.94,56.57
QQQ,golden_st,1,41.0,,704.48,702.8,652.98,723.03
QQQM,golden_st,1,3.4,,290.06,289.36,268.84,297.7
SCHE,golden_st,3,3.2,,36.11,35.95,34.56,36.99
SHLD,golden_st,0,1.2,,64.11,63.86,65.67,69.04
SPDW,golden_st,5,3.1,,50.31,50.03,47.48,51.65
VONG,golden_st,0,1.2,,124.58,124.52,120.59,128.28
VXUS,golden_st,5,5.1,,85.0,84.55,80.39,87.21
XLY,golden,2,8.4,,115.83,115.88,115.62,119.86
