symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
TD,golden_st,2.5,158.0,94.21,94.19,84.98,95.22
LOW,death,2.9,132.2,240.17,249.56,249.77,231.03
MCK,death_st,0.8,106.8,896.32,896.77,816.59,884.28
BK,golden_st,3.6,83.3,117.6,117.58,109.51,122.13
RCL,death,2.7,76.3,278.94,288.14,288.37,273.59
GWW,golden_st,0.3,52.4,1085.63,1085.36,1048.9,1117.45
VIK,golden_st,2.9,34.0,72.55,72.47,65.14,74.8
UAL,death,8.5,30.8,93.94,99.11,99.17,92.21
JBHT,golden_st,0.9,20.2,209.88,209.8,185.99,214.91
WF,death_st,0.1,16.3,67.3,67.3,58.48,66.04
HII,death_st,0.5,15.5,402.89,403.01,337.79,396.62
TLN,death,0.8,14.9,328.19,341.98,342.36,327.58
HAS,death_st,1.7,12.6,92.51,92.57,83.16,90.16
MDGL,golden_st,0.4,12.2,480.96,477.56,450.33,546.89
SCI,golden_st,1.2,11.8,80.67,80.54,80.36,84.77
ELAN,death_st,5.6,11.5,24.08,24.12,20.98,23.08
EGP,golden_st,0.4,10.0,186.84,186.76,179.6,188.41
KNX,golden_st,3.0,9.4,56.33,56.3,51.66,58.6
CYTK,golden_st,2.2,8.2,63.43,63.28,57.3,66.73
NNN,death_st,1.5,8.1,43.17,43.18,42.3,42.77
SIRI,golden,3.8,7.8,22.6,22.04,22.02,23.79
FAF,death,1.0,6.1,61.39,63.11,63.26,58.23
ALKS,golden_st,2.8,5.8,30.65,30.55,30.18,34.84
FLG,golden_st,5.4,5.6,12.98,12.98,12.41,13.48
FCN,golden,0.5,5.5,171.15,169.64,169.54,183.33
WIX,death_st,3.3,5.3,86.56,86.72,115.56,81.95
ENPH,death_st,5.1,5.0,40.64,40.96,40.63,34.92
AIRR,golden_st,0.7,,111.71,111.69,100.96,112.87
DES,golden_st,0.1,,35.89,35.87,34.61,36.26
HDEF,golden_st,0.3,,32.22,32.21,30.59,32.58
SCHY,golden_st,0.8,,31.62,31.62,29.61,31.87
XLB,golden_st,17.3,,49.68,49.68,47.1,50.41
AIA,death_st,0.5,,107.83,107.95,97.61,105.62
GBIL,death_st,1.0,,100.07,100.07,100.06,99.94
USFR,death_st,5.7,,50.38,50.38,50.37,50.36
BILS,death,0.5,,99.31,99.31,99.31,99.2
BSCR,death,0.8,,19.65,19.68,19.68,19.645
BSCU,death,0.7,,16.75,16.83,16.83,16.75
BSCV,death,0.6,,16.5,16.58,16.59,16.495
IBDS,death,0.6,,24.21,24.24,24.24,24.16
IBDV,death,0.8,,21.89,21.98,21.98,21.84
IBDW,death,0.6,,20.93,21.04,21.04,20.89
IBND,death,0.2,,31.27,31.66,31.67,31.04
IVES,death,0.5,,29.22,30.11,30.14,28.8
MAGS,death,4.5,,59.17,61.14,61.22,58.27
SPGP,death,0.1,,109.04,111.4,111.41,108.02
