symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
V,golden,3,9.2,663.7,342.03,332.63,330.35,357.75
SPGI,golden_st,1,2.5,127.4,424.5,423.61,454.54,437.84
BMY,golden_st,0,13.4,117.6,57.18,57.13,55.58,59.34
EMR,death_st,0,2.7,77.8,140.54,140.73,138.11,135.38
CI,golden,0,1.6,77.6,287.38,284.91,284.61,304.5
CTAS,golden_st,3,2.2,71.9,176.35,175.57,184.95,183.75
ALNY,death_st,1,1.5,39.9,300.52,301.36,331.59,288.06
HIG,golden,4,1.9,38.0,135.1,133.96,133.11,140.78
LPLA,golden_st,0,1.1,25.4,298.07,297.91,322.2,321.06
FWONK,golden,0,2.1,24.1,94.42,91.92,91.81,99.64
PHYS,death,4,4.0,14.8,31.26,32.54,32.82,30.16
TRU,golden_st,5,2.7,14.5,73.01,71.63,76.09,76.21
HAS,death,1,2.0,11.2,81.5,85.2,85.49,79.53
RDY,death,0,2.5,11.0,13.92,13.78,13.78,12.92
ZWS,death_st,1,1.0,7.9,48.41,48.55,46.92,46.93
UGP,golden_st,0,3.1,6.4,5.34,5.31,4.81,6.0
MTG,golden,1,1.9,6.0,27.48,26.95,26.87,28.42
WH,death,0,1.4,5.9,81.45,81.69,81.78,77.19
GLDM,death,1,4.4,,82.05,85.3,85.62,79.17
IAUM,death,1,2.4,,41.32,42.96,43.12,39.88
