symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
HD,golden_st,0,5.5,341.9,326.17,326.01,349.46,345.0
NVS,golden_st,2,1.9,292.2,150.51,150.01,142.76,155.12
AMGN,golden_st,2,2.9,189.7,344.39,343.32,334.37,352.82
HON,golden_st,4,5.1,144.1,224.48,223.64,217.61,231.24
PFE,death,0,40.8,137.0,25.38,25.88,25.92,23.67
VRTX,golden,0,1.4,120.6,453.31,447.29,446.71,480.18
BN,death_st,0,4.5,95.9,44.59,44.66,44.12,43.0
SNPS,death_st,3,2.1,88.8,469.41,471.36,470.43,455.02
AMT,death_st,0,3.3,81.3,181.47,181.6,184.64,168.72
ITW,golden_st,0,1.4,75.9,259.2,258.92,260.24,270.6
AEP,golden_st,0,5.9,73.4,130.46,130.18,123.99,137.0
PCAR,golden_st,3,3.2,61.6,117.33,117.01,113.38,121.68
TEL,death,0,2.7,58.0,208.98,211.11,211.12,200.07
VST,golden_st,2,5.0,54.9,156.88,155.66,163.38,167.77
PEG,golden_st,0,2.9,40.8,79.95,79.83,81.05,82.63
VMC,golden,0,1.2,39.9,291.59,286.75,286.18,312.97
WEC,golden_st,0,2.3,37.7,113.43,113.32,111.79,117.07
MLM,golden_st,0,0.6,37.0,591.55,591.14,601.47,628.94
HBAN,golden,0,22.7,35.6,16.92,16.6,16.59,17.9
KB,death_st,0,0.3,35.4,104.77,104.91,96.23,99.99
PHM,golden,0,1.8,25.9,124.07,121.96,121.67,135.81
BCE,death,0,3.8,21.6,23.83,24.16,24.17,23.2
ZBH,golden_st,0,2.2,17.5,87.54,87.45,91.38,90.96
PAC,golden,4,0.1,14.6,243.08,244.17,243.45,252.21
NWSA,death_st,0,5.6,13.7,25.83,25.87,26.14,25.03
WYNN,death_st,0,1.4,10.8,103.49,103.58,106.83,99.38
AM,golden_st,2,2.4,10.5,21.73,21.64,20.33,22.69
SSB,golden,0,0.7,9.7,96.94,96.21,96.15,100.77
SARO,golden_st,2,3.9,9.0,26.68,26.57,27.46,27.79
WH,golden,0,1.3,6.4,82.41,81.81,81.76,86.12
MTH,golden,0,0.9,5.5,72.99,69.63,69.37,83.34
XENE,golden_st,0,1.4,5.4,53.88,53.85,48.1,56.78
UTES,golden_st,0,0.2,,80.87,80.72,79.93,83.94
FEPI,death_st,0,0.2,,43.7,43.77,44.2,41.85
PFXF,death_st,0,0.8,,18.38,18.39,18.06,17.84
XES,death_st,3,0.1,,118.73,120.05,103.87,113.35
XLY,death_st,2,7.9,,116.24,116.59,115.97,113.35
