event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-04-22,BITQ,golden,52.31,70.0,-17.69,SKIP,1
2026-04-22,NVDU,golden,41.82,70.0,-28.18,SKIP,2
2026-04-22,TECL,golden,37.29,70.0,-32.71,SKIP,3
2026-04-22,FUTU,golden,33.52,70.0,-36.48,SKIP,4
2026-04-22,SYY,death,24.9,70.0,-45.1,SKIP,5
2026-04-22,FOX,golden,24.63,70.0,-45.37,SKIP,6
2026-04-22,SYF,golden,20.35,70.0,-49.65,SKIP,7
2026-04-22,SSB,golden,16.69,70.0,-53.31,SKIP,8
2026-04-22,DUSB,death,14.34,70.0,-55.66,SKIP,9
2026-04-22,TCHP,golden,10.61,70.0,-59.39,SKIP,10
2026-04-22,EBND,golden,5.32,70.0,-64.68,SKIP,11
2026-04-22,PTLC,golden,4.9,70.0,-65.1,SKIP,12
2026-04-22,HYD,golden,4.62,70.0,-65.38,SKIP,13
2026-04-22,BAFE,golden,4.55,70.0,-65.45,SKIP,14
