symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
MRK,golden_st,0,9.1,293.2,115.31,115.11,106.29,120.24
SHEL,death_st,1,8.1,233.8,86.67,86.87,80.15,83.81
VZ,golden_st,2,22.0,199.6,47.64,47.54,45.11,48.24
BBVA,golden_st,0,1.6,130.3,22.31,22.26,20.92,23.27
CB,golden_st,4,1.6,120.9,325.29,325.13,310.1,320.63
ADP,golden_st,4,3.0,88.7,214.39,212.96,241.51,217.65
MDLZ,golden,5,7.6,78.5,60.92,59.77,59.44,62.25
GM,golden_st,0,6.9,75.1,77.49,77.24,72.04,84.12
ITW,death,3,1.3,71.1,254.06,259.89,260.83,250.29
AEP,death_st,4,4.0,68.9,130.79,130.9,122.65,129.57
XEL,golden_st,3,5.1,49.6,80.16,80.0,77.55,81.0
FER,golden_st,1,1.4,48.7,68.44,68.36,64.08,69.52
HEI,golden_st,0,0.8,48.6,293.02,292.19,301.09,309.4
FITB,golden_st,4,5.8,45.3,49.05,48.91,46.97,49.89
EXR,golden,1,1.2,30.5,142.1,141.11,140.96,144.43
AMRZ,death,2,2.8,30.1,52.17,54.07,54.18,53.1
AEE,golden_st,1,1.7,29.9,110.1,110.0,105.71,111.12
RJF,death_st,0,1.4,27.9,152.33,152.71,156.67,145.4
CNP,golden_st,2,5.3,27.6,42.58,42.52,40.46,43.07
EIX,golden_st,3,2.7,26.9,70.32,70.12,64.72,71.66
CHD,golden_st,0,2.0,22.7,95.46,95.34,94.33,98.01
LI,death_st,5,4.0,15.2,17.27,17.69,19.49,15.78
MAA,golden_st,4,0.9,15.0,129.01,128.59,134.05,130.58
MAS,golden,0,3.3,14.2,68.21,67.6,67.54,69.82
ARCC,death_st,4,5.6,13.6,18.79,18.8,19.78,18.86
FIVE,death_st,5,1.1,12.6,220.6,221.11,189.58,215.99
RNR,death_st,1,0.4,12.0,298.59,299.17,281.34,289.68
AES,golden_st,1,11.5,10.5,14.53,14.51,14.05,14.68
WTS,golden_st,1,0.3,10.3,301.26,300.37,286.09,314.8
SFD,golden_st,2,1.4,10.2,26.31,26.28,24.48,26.7
DDS,death,5,0.1,9.2,560.79,575.0,576.67,589.83
RRC,death_st,1,3.0,9.2,41.54,41.69,39.58,39.21
CEF,death_st,5,0.6,8.8,48.37,48.69,44.33,46.68
EMN,golden_st,3,1.2,8.7,73.26,72.95,71.94,75.91
JXN,death_st,0,0.6,7.2,109.12,109.33,104.6,103.91
NEU,golden,0,0.1,7.1,704.57,679.85,679.47,779.1
EXP,golden_st,0,0.4,6.8,203.56,203.44,213.07,214.74
IFS,golden_st,1,0.3,5.5,47.26,47.09,44.02,49.97
AUSF,golden_st,3,0.1,,48.94,48.85,47.44,49.25
DIVO,golden_st,3,0.8,,45.7,45.62,44.9,46.07
KIE,golden_st,4,1.2,,57.01,56.95,57.6,56.3
MOAT,golden_st,0,0.9,,100.73,100.68,100.27,101.89
SDY,golden_st,2,0.2,,148.46,148.21,144.6,150.03
USDU,golden_st,5,0.3,,26.08,26.04,26.22,26.22
ARKF,death_st,1,0.2,,41.32,41.34,44.11,41.045
BKLN,death_st,3,9.9,,20.55,20.56,20.71,20.5
BTCI,death_st,0,0.8,,36.01,36.08,43.38,34.48
FXE,death_st,3,0.2,,107.65,107.75,107.02,107.31
ILF,death_st,3,3.0,,35.56,35.62,32.5,35.29
SCHP,death_st,4,3.9,,26.73,26.74,26.7,26.75
SDIV,death_st,1,0.4,,25.52,25.55,24.63,25.18
TDTF,death_st,4,0.2,,24.16,24.18,24.12,24.13
TIP,death_st,5,1.9,,110.85,110.94,110.61,110.88
TIPX,death_st,5,0.4,,19.19,19.21,19.17,19.17
TUR,death_st,0,0.4,,40.67,40.77,38.05,38.18
FDN,golden,4,0.6,,267.28,260.56,258.88,274.43
SKYY,golden,2,0.3,,127.26,122.39,121.72,132.31
FAZ,death,3,0.6,,44.89,45.35,45.45,45.16
FSEC,death,5,0.3,,43.84,43.98,44.02,43.9
IBND,death,5,0.1,,31.51,31.59,31.62,31.54
JMUB,death,5,0.9,,50.18,50.3,50.35,50.31
MBB,death,4,2.0,,94.27,94.65,94.74,94.38
PMBS,death,3,0.1,,49.29,49.5,49.52,49.29
REM,death,2,0.5,,22.14,22.24,22.26,22.03
SCMB,death,4,1.2,,25.56,25.63,25.64,25.6
SPIP,death,5,0.3,,26.0,26.05,26.08,26.02
SPMB,death,4,1.4,,22.22,22.31,22.33,22.24
TFI,death,5,0.4,,45.37,45.49,45.53,45.46
VIXM,death,2,0.3,,15.8,15.92,15.95,15.44
