event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-03-24,TBIL,golden_st,95.45,75.0,20.45,LOOK,1
2026-03-24,MDB,death,94.11,70.0,24.11,LOOK,2
2026-03-24,SEEM,death_st,86.26,75.0,11.26,LOOK,3
2026-03-24,LINE,death_st,80.62,75.0,5.62,LOOK,4
2026-03-24,DFAE,death_st,79.04,75.0,4.04,LOOK,5
2026-03-24,EMGF,death_st,78.56,75.0,3.56,LOOK,6
2026-03-24,DFAX,death_st,78.55,75.0,3.55,LOOK,7
2026-03-24,AVEM,death_st,77.33,75.0,2.33,LOOK,8
2026-03-24,XLB,death_st,74.46,75.0,-0.54,SKIP,9
2026-03-24,MINT,golden_st,69.21,75.0,-5.79,SKIP,10
2026-03-24,PACS,death_st,66.33,75.0,-8.67,SKIP,11
2026-03-24,EVR,death,61.78,70.0,-8.22,SKIP,12
2026-03-24,DGS,death_st,54.05,75.0,-20.95,SKIP,13
2026-03-24,FSLR,death,53.77,70.0,-16.23,SKIP,14
2026-03-24,CPAY,death,53.04,70.0,-16.96,SKIP,15
2026-03-24,MT,death_st,49.77,75.0,-25.23,SKIP,16
2026-03-24,ABVX,death_st,47.99,75.0,-27.01,SKIP,17
2026-03-24,NFLU,death_st,46.58,75.0,-28.42,SKIP,18
2026-03-24,UGL,death_st,46.54,75.0,-28.46,SKIP,19
2026-03-24,WPM,death_st,45.82,75.0,-29.18,SKIP,20
2026-03-24,VYMI,death_st,44.76,75.0,-30.24,SKIP,21
2026-03-24,EWU,death_st,44.29,75.0,-30.71,SKIP,22
2026-03-24,URBN,death,43.71,70.0,-26.29,SKIP,23
2026-03-24,MGA,death_st,42.71,75.0,-32.29,SKIP,24
2026-03-24,AVDV,death_st,36.6,75.0,-38.4,SKIP,25
2026-03-24,SPIP,death_st,34.59,75.0,-40.41,SKIP,26
2026-03-24,VMC,death,34.02,70.0,-35.98,SKIP,27
2026-03-24,TRNO,death_st,33.81,75.0,-41.19,SKIP,28
2026-03-24,NVDQ,golden_st,33.7,75.0,-41.3,SKIP,29
2026-03-24,FOXA,death,32.81,70.0,-37.19,SKIP,30
2026-03-24,CMCSA,death_st,29.72,75.0,-45.28,SKIP,31
2026-03-24,FOX,death,28.75,70.0,-41.25,SKIP,32
2026-03-24,IDCC,death_st,28.08,75.0,-46.92,SKIP,33
2026-03-24,PICK,death_st,27.35,75.0,-47.65,SKIP,34
2026-03-24,XHB,death,22.38,70.0,-47.62,SKIP,35
2026-03-24,MGV,death_st,21.52,75.0,-53.48,SKIP,36
2026-03-24,MDT,death,21.35,70.0,-48.65,SKIP,37
2026-03-24,TCHP,death,20.11,70.0,-49.89,SKIP,38
2026-03-24,ARMG,golden_st,19.78,75.0,-55.22,SKIP,39
2026-03-24,RYLD,death,18.54,70.0,-51.46,SKIP,40
2026-03-24,PLTD,death_st,17.11,75.0,-57.89,SKIP,41
