symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
NVDA,death_st,0,169.0,4663.3,204.89,205.05,189.28,194.97
TMO,golden_st,0,2.4,190.7,481.57,480.95,503.81,506.42
DHR,golden_st,0,4.4,138.9,183.54,183.11,196.73,192.78
VRTX,golden,2,1.7,124.7,460.66,451.0,447.33,499.65
MMM,golden,0,4.1,85.5,159.17,155.17,155.04,162.43
TEL,death,2,2.6,57.7,207.08,210.1,210.96,198.3
CTVA,golden_st,0,4.2,55.3,79.18,79.12,75.11,83.37
YUM,golden,1,2.3,43.1,153.11,153.77,153.55,158.24
MSCI,death_st,0,0.7,40.4,585.14,585.52,572.89,558.0
HEI.A,golden,4,0.4,35.6,245.24,237.06,234.93,254.48
PUK,death,2,1.4,33.2,27.19,28.33,28.48,26.63
EL,death_st,0,4.0,29.1,83.74,83.95,87.75,79.37
BCE,death,3,3.9,21.4,23.61,24.04,24.18,22.26
AS,death_st,1,4.9,19.9,34.89,35.01,35.14,33.3
BIP,death_st,1,0.7,16.8,37.5,37.57,36.05,36.45
BALL,golden_st,0,3.3,16.5,58.3,58.15,56.9,62.02
CSL,golden,0,0.4,15.7,358.97,353.12,352.92,378.47
PAC,golden_st,0,0.1,15.0,244.93,244.9,243.88,254.56
OHI,golden_st,0,2.5,14.3,46.33,46.27,44.58,48.11
WMG,death,5,2.4,14.1,28.59,29.34,29.77,26.59
HTHT,death,0,2.5,13.0,43.73,45.84,45.86,43.27
AGNC,golden,1,15.4,12.5,10.5,10.5,10.48,11.0
CCK,golden,0,1.2,12.4,102.73,101.28,101.02,111.12
MDGL,golden_st,0,0.4,11.8,504.16,502.94,477.49,527.28
JEF,death,0,2.4,10.0,56.02,53.79,53.92,48.78
SSB,golden,3,0.8,9.9,97.58,96.55,96.15,99.99
DDS,death,0,0.1,9.0,574.75,578.96,579.43,537.38
CBSH,golden,0,1.3,8.4,55.05,53.42,53.42,58.09
GGB,death_st,0,18.0,8.2,4.39,4.41,3.96,4.13
PB,golden,5,1.0,7.5,71.4,70.18,69.63,73.52
CRUS,death_st,0,0.6,7.4,160.35,160.92,142.43,146.35
JBTM,golden_st,0,0.5,7.3,131.54,131.21,135.88,141.27
VIST,death_st,2,0.9,7.2,69.07,69.67,60.48,64.23
WH,golden,1,1.4,6.5,83.21,82.22,81.92,86.71
ICL,death,3,1.4,6.5,5.45,5.63,5.7,5.01
MTG,golden_st,0,1.8,5.9,26.49,26.41,26.75,28.23
ESNT,golden_st,0,0.9,5.9,60.24,60.08,60.52,64.83
BCPC,golden,5,0.2,5.5,165.15,164.92,164.22,169.21
LYFT,golden_st,0,14.7,5.4,14.14,14.09,15.41,15.25
RLI,golden_st,0,1.0,5.3,53.95,53.87,59.18,58.4
MRP,golden_st,1,1.8,5.1,29.09,28.93,29.43,30.68
FRNW,death_st,1,0.2,,24.89,25.0,22.44,23.76
TAN,death_st,0,1.8,,61.13,61.24,54.13,57.6
XHB,golden,0,3.1,,108.99,106.35,106.12,115.39
CTA,death,0,0.5,,27.78,28.93,28.95,25.98
