symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
ACGL,golden,0,2.3,35.0,,91.95,91.83,96.2
GWRE,death,0,1.0,16.8,,215.71,215.84,199.92
STN,death,0,0.3,10.6,,100.37,100.43,94.2
OLLI,death,0,1.2,6.6,,120.25,120.26,107.97
KRG,golden,0,1.9,5.1,,22.74,22.72,23.75
BNDX,death,0,3.5,,,49.37,49.4,48.23
DUSB,death,0,0.3,,,50.77,50.77,50.6
ETHE,death,0,8.0,,,27.32,27.33,24.57
SGOV,death,0,15.8,,,100.52,100.52,100.28
SHV,death,0,2.5,,,110.28,110.29,110.02
