symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
NFLX,death_st,0,30.4,313.6,77.43,77.61,86.75,71.79
LIN,death,0,2.0,211.4,473.27,485.35,485.6,460.4
UNP,death_st,0,2.3,167.8,289.38,289.44,267.25,279.37
UBER,death_st,2,18.1,144.8,73.45,73.81,76.59,70.5
BKNG,death_st,3,6.3,128.1,184.92,188.57,187.88,167.9
IBN,death_st,0,4.7,101.1,29.25,29.3,29.26,28.15
BX,death_st,0,3.7,94.1,132.08,132.26,132.03,124.96
CSX,death_st,1,9.7,88.7,49.12,49.26,44.54,47.1
CMCSA,death_st,0,24.3,81.3,25.04,25.15,26.86,22.74
CP,death_st,1,2.0,78.0,90.36,90.61,85.49,87.48
SHW,death,0,1.6,77.9,330.79,334.93,334.97,320.73
APD,death_st,2,1.0,63.7,295.58,297.02,288.22,284.18
O,death,0,6.2,54.2,60.09,61.47,61.56,56.66
CCEP,death_st,0,1.7,44.3,104.74,104.93,99.59,99.77
MTB,death_st,3,1.0,32.7,236.68,238.62,223.72,227.31
EXR,death,0,1.1,29.4,140.28,142.96,143.04,136.71
AEE,death,0,1.4,28.8,105.52,107.48,107.55,102.23
BRO,death_st,0,1.9,21.8,68.61,68.65,71.6,65.02
OMC,death_st,0,2.7,21.6,81.72,81.9,78.87,76.57
EXE,death_st,0,2.8,20.4,94.09,94.11,98.06,87.49
SWK,death_st,0,1.7,13.5,93.09,93.19,84.17,89.58
GME,golden_st,0,7.1,11.5,20.37,20.29,21.91,22.64
SF,death_st,0,1.1,11.4,79.16,79.33,77.19,75.79
JEF,death,1,2.0,11.0,51.75,53.01,53.27,47.9
ORI,death_st,3,1.2,9.8,41.34,41.53,41.0,39.95
FLS,death_st,3,1.5,9.4,75.49,75.9,73.09,73.88
REXR,golden,5,2.5,8.6,37.64,37.01,36.75,38.39
IMVT,death_st,0,1.3,7.8,39.08,39.08,32.16,36.95
LEVI,death,0,2.3,7.6,20.75,21.82,21.84,19.82
RAL,golden_st,0,1.4,7.5,65.73,65.62,58.17,67.96
AXTA,death_st,0,1.7,7.0,34.56,34.63,32.52,32.2
LW,death_st,0,1.3,6.4,49.67,49.82,48.58,46.67
ADT,death_st,0,6.9,5.1,7.19,7.2,7.33,6.9
KBWB,death_st,0,1.4,,95.29,95.29,88.58,92.09
XLB,death_st,2,10.8,,51.52,51.71,50.11,49.99
ICLN,death,5,6.8,,17.72,18.17,18.28,17.56
XLY,death,2,5.6,,113.76,115.08,115.47,111.03
