symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
TJX,golden_st,1,5.7,176.7,157.31,156.9,152.58,162.06
BTI,death_st,1,4.3,127.8,60.62,60.8,58.33,58.73
SHW,golden,0,2.4,89.7,342.06,333.15,332.92,363.42
ORLY,golden_st,0,8.8,76.3,89.33,89.15,92.05,93.37
TRP,death_st,0,2.6,66.5,67.25,67.42,62.38,63.9
PAYX,golden,0,3.4,42.1,114.13,107.92,107.68,120.13
HMC,golden,0,1.4,39.7,29.25,28.1,28.1,30.73
IR,golden,0,4.4,34.9,84.24,81.34,81.15,88.24
DG,golden,4,2.4,28.0,123.54,120.06,119.07,127.45
DD,golden_st,0,1.7,19.9,139.92,139.78,131.62,144.05
TME,golden_st,0,6.3,15.6,9.25,9.23,12.43,9.59
PNW,death_st,0,1.3,12.3,103.83,103.99,99.28,100.82
WTRG,golden,5,2.2,11.2,39.39,38.86,38.75,39.88
UGI,death,0,1.3,7.6,36.01,35.77,35.8,34.28
BIZD,golden_st,0,3.3,,12.62,12.6,13.36,13.12
