event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-03-27,NVD,golden_st,54.45,75.0,-20.55,SKIP,1
2026-03-27,HIBS,golden_st,53.11,75.0,-21.89,SKIP,2
2026-03-27,SSG,golden_st,52.96,75.0,-22.04,SKIP,3
2026-03-27,CRK,golden_st,51.0,75.0,-24.0,SKIP,4
2026-03-27,CCL,death,40.11,70.0,-29.89,SKIP,5
2026-03-27,XP,death_st,38.93,75.0,-36.07,SKIP,6
2026-03-27,ASTS,death_st,37.96,75.0,-37.04,SKIP,7
2026-03-27,SNEX,golden_st,36.71,75.0,-38.29,SKIP,8
2026-03-27,NICE,death_st,35.05,75.0,-39.95,SKIP,9
2026-03-27,FNV,death_st,31.15,75.0,-43.85,SKIP,10
2026-03-27,DRI,death_st,30.3,75.0,-44.7,SKIP,11
2026-03-27,WEX,death_st,29.62,75.0,-45.38,SKIP,12
2026-03-27,GME,death_st,29.57,75.0,-45.43,SKIP,13
2026-03-27,AAPX,death,29.48,70.0,-40.52,SKIP,14
2026-03-27,TEX,death_st,29.19,75.0,-45.81,SKIP,15
2026-03-27,BDRY,death_st,28.08,75.0,-46.92,SKIP,16
2026-03-27,MIRM,death_st,28.06,75.0,-46.94,SKIP,17
2026-03-27,BMRN,death,26.75,70.0,-43.25,SKIP,18
2026-03-27,CACI,death_st,25.6,75.0,-49.4,SKIP,19
2026-03-27,AVY,death,25.42,70.0,-44.58,SKIP,20
2026-03-27,TMV,golden,25.39,70.0,-44.61,SKIP,21
2026-03-27,RIO,death_st,23.03,75.0,-51.97,SKIP,22
2026-03-27,BIP,death_st,22.88,75.0,-52.12,SKIP,23
2026-03-27,EW,death_st,22.67,75.0,-52.33,SKIP,24
2026-03-27,TT,death_st,22.54,75.0,-52.46,SKIP,25
2026-03-27,HEI,death,22.22,70.0,-47.78,SKIP,26
2026-03-27,ITT,death_st,21.11,75.0,-53.89,SKIP,27
2026-03-27,XAR,death_st,20.96,75.0,-54.04,SKIP,28
2026-03-27,CCEP,death_st,20.95,75.0,-54.05,SKIP,29
2026-03-27,HCA,death_st,20.67,75.0,-54.33,SKIP,30
2026-03-27,GEME,death_st,20.48,75.0,-54.52,SKIP,31
2026-03-27,VPL,death_st,20.14,75.0,-54.86,SKIP,32
2026-03-27,BCPC,death_st,20.01,75.0,-54.99,SKIP,33
2026-03-27,DFEV,death_st,18.88,75.0,-56.12,SKIP,34
2026-03-27,BAC,death,18.73,70.0,-51.27,SKIP,35
2026-03-27,BOKF,death_st,18.31,75.0,-56.69,SKIP,36
2026-03-27,FR,death_st,17.94,75.0,-57.06,SKIP,37
2026-03-27,NDSN,death_st,17.53,75.0,-57.47,SKIP,38
2026-03-27,ROL,death,17.47,70.0,-52.53,SKIP,39
2026-03-27,BTI,death_st,17.45,75.0,-57.55,SKIP,40
2026-03-27,IAI,death,16.78,70.0,-53.22,SKIP,41
2026-03-27,BMO,death_st,16.26,75.0,-58.74,SKIP,42
2026-03-27,CWB,death_st,15.98,75.0,-59.02,SKIP,43
2026-03-27,DEM,death_st,15.82,75.0,-59.18,SKIP,44
2026-03-27,DFIV,death_st,15.82,75.0,-59.18,SKIP,45
2026-03-27,CAH,death_st,15.7,75.0,-59.3,SKIP,46
2026-03-27,SCHG,death,15.56,70.0,-54.44,SKIP,47
2026-03-27,TIPX,death_st,15.3,75.0,-59.7,SKIP,48
2026-03-27,BBAX,death_st,14.92,75.0,-60.08,SKIP,49
2026-03-27,PXF,death_st,14.7,75.0,-60.3,SKIP,50
2026-03-27,FLCH,death,14.6,70.0,-55.4,SKIP,51
2026-03-27,HDEF,death_st,14.21,75.0,-60.79,SKIP,52
2026-03-27,PLDR,death,13.53,70.0,-56.47,SKIP,53
2026-03-27,UCON,death,13.43,70.0,-56.57,SKIP,54
2026-03-27,HYD,death,13.39,70.0,-56.61,SKIP,55
2026-03-27,FLGV,death,13.11,70.0,-56.89,SKIP,56
2026-03-27,IGOV,death,13.09,70.0,-56.91,SKIP,57
2026-03-27,TDTF,death_st,12.98,75.0,-62.02,SKIP,58
2026-03-27,USRT,death_st,12.83,75.0,-62.17,SKIP,59
2026-03-27,DFUV,death_st,12.76,75.0,-62.24,SKIP,60
2026-03-27,IBDT,death,12.76,70.0,-57.24,SKIP,61
2026-03-27,FTCB,death,12.74,70.0,-57.26,SKIP,62
2026-03-27,FLHY,death,12.67,70.0,-57.33,SKIP,63
2026-03-27,GSY,death,12.49,70.0,-57.51,SKIP,64
2026-03-27,SCHH,death_st,12.36,75.0,-62.64,SKIP,65
2026-03-27,DFAR,death_st,12.09,75.0,-62.91,SKIP,66
2026-03-27,ICF,death_st,12.09,75.0,-62.91,SKIP,67
2026-03-27,IBD,death,11.91,70.0,-58.09,SKIP,68
2026-03-27,CGSD,death,11.87,70.0,-58.13,SKIP,69
2026-03-27,JPIE,death,11.83,70.0,-58.17,SKIP,70
2026-03-27,CSRE,death_st,11.81,75.0,-63.19,SKIP,71
2026-03-27,BYLD,death,11.76,70.0,-58.24,SKIP,72
2026-03-27,HTRB,death,11.73,70.0,-58.27,SKIP,73
2026-03-27,SUSB,death,11.71,70.0,-58.29,SKIP,74
2026-03-27,FTQI,death,11.6,70.0,-58.4,SKIP,75
2026-03-27,TUSI,golden,7.56,70.0,-62.44,SKIP,76
2026-03-27,BILS,golden,7.51,70.0,-62.49,SKIP,77
2026-03-27,TBIL,golden,6.57,70.0,-63.43,SKIP,78
2026-03-27,QBER,golden_st,5.03,75.0,-69.97,SKIP,79
