symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
RIO,death_st,0,3.4,139.5,89.33,89.46,77.63,False,False,86.64,False,True,0.0,success
BTI,death_st,0,5.3,126.2,59.05,59.1,54.68,False,False,57.8,False,True,0.0,success
HCA,death_st,0,1.1,107.4,505.94,506.06,455.85,False,False,471.85,False,True,0.0,success
BMO,death_st,0,0.9,93.3,138.09,138.24,127.11,False,False,131.76,False,True,0.0,success
TT,death_st,0,1.3,90.1,427.67,428.18,417.43,False,False,410.23,False,True,0.0,success
CAH,death_st,0,1.7,48.9,213.78,213.97,188.69,False,False,206.58,False,True,0.0,success
EW,death_st,0,4.7,47.7,82.51,82.61,80.32,False,False,79.34,False,True,0.0,success
FNV,death_st,0,0.9,43.9,244.23,244.37,211.71,False,False,233.95,False,True,0.0,success
CCEP,death_st,0,2.0,41.4,97.03,97.16,92.6,False,False,91.64,False,True,0.0,success
ASTS,death_st,0,12.5,25.7,89.34,89.52,71.35,False,False,78.67,False,True,0.0,success
DRI,death_st,0,1.5,22.9,202.53,203.05,197.57,False,False,192.49,False,True,0.0,success
BIP,death_st,0,1.0,16.5,36.75,36.83,34.9,False,False,34.86,False,True,0.0,success
ITT,death_st,0,1.0,16.1,190.14,190.15,177.91,False,False,184.69,False,True,0.0,success
NDSN,death_st,0,0.4,14.8,271.86,272.03,249.04,False,False,260.21,False,True,0.0,success
CACI,death_st,0,0.2,12.8,595.86,597.24,554.44,False,False,563.67,False,True,0.0,success
GME,death_st,0,5.3,10.1,23.31,23.33,23.65,False,False,22.1,False,True,0.0,success
XP,death_st,0,6.6,9.6,19.25,19.32,18.27,False,False,17.7,False,True,0.0,success
BOKF,death_st,0,0.4,7.7,126.51,126.62,117.68,False,False,124.6,False,True,0.0,success
FR,death_st,0,1.1,7.7,59.38,59.43,56.16,False,False,57.18,False,True,0.0,success
TEX,death_st,0,1.7,6.7,60.84,61.0,55.03,False,False,56.44,False,True,0.0,success
CRK,golden_st,0,2.2,6.6,21.23,21.18,20.84,False,False,23.43,True,False,0.0,success
NICE,death_st,0,0.8,6.5,115.26,115.3,128.88,False,False,108.35,False,True,0.0,success
SNEX,golden_st,0,0.8,6.1,74.99,74.81,67.05,False,False,78.36,True,False,0.0,success
MIRM,death_st,0,0.9,5.4,91.48,91.55,76.77,False,False,88.44,False,True,0.0,success
BCPC,death_st,0,0.2,5.3,169.01,169.06,163.53,False,False,166.95,False,True,0.0,success
WEX,death_st,0,0.4,5.3,155.25,155.66,155.99,False,False,147.55,False,True,0.0,success
HIBS,golden_st,0,0.5,,46.09,45.9,71.5,False,False,51.13,True,False,0.0,success
NVD,golden_st,0,89.8,,7.37,7.33,10.7,False,False,8.28,True,False,0.0,success
QBER,golden_st,0,0.2,,24.02,24.01,24.34,False,False,24.3,True,False,0.0,success
SSG,golden_st,0,0.2,,28.9,28.82,42.02,False,False,32.01,True,False,0.0,success
BBAX,death_st,0,0.3,,60.24,60.31,57.35,False,False,58.21,False,True,0.0,success
BDRY,death_st,0,0.2,,10.47,10.49,9.05,False,False,9.93,False,True,0.0,success
CSRE,death_st,0,0.1,,26.86,26.88,26.25,False,False,25.875,False,True,0.0,success
CWB,death_st,0,1.2,,92.83,92.97,89.56,False,False,89.81,False,True,0.0,success
DEM,death_st,0,0.3,,49.38,49.4,47.21,False,False,48.25,False,True,0.0,success
DFAR,death_st,0,1.8,,24.08,24.12,23.8,False,False,23.19,False,True,0.0,success
DFEV,death_st,0,0.3,,36.17,36.2,33.47,False,False,34.92,False,True,0.0,success
DFIV,death_st,0,1.7,,52.49,52.57,48.39,False,False,51.22,False,True,0.0,success
DFUV,death_st,0,0.6,,48.69,48.72,46.25,False,False,47.77,False,True,0.0,success
GEME,death_st,0,0.1,,35.67,35.69,32.66,False,False,34.1569,False,True,0.0,success
HDEF,death_st,0,0.3,,32.16,32.19,30.52,False,False,31.55,False,True,0.0,success
ICF,death_st,0,0.1,,62.88,62.93,61.86,False,False,60.67,False,True,0.0,success
PXF,death_st,0,0.2,,70.07,70.14,64.45,False,False,67.71,False,True,0.0,success
SCHH,death_st,0,10.7,,21.94,21.98,21.61,False,False,21.1,False,True,0.0,success
TDTF,death_st,0,0.1,,24.14,24.15,24.09,False,False,23.97,False,True,0.0,success
TIPX,death_st,0,0.2,,19.21,19.21,19.15,False,False,19.105,False,True,0.0,success
USRT,death_st,0,0.4,,60.24,60.26,58.87,False,False,58.14,False,True,0.0,success
VPL,death_st,0,2.7,,99.23,99.33,91.76,False,False,95.07,False,True,0.0,success
