symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BA,death,1,5.7,167.8,214.83,218.16,218.52,210.73
WMB,golden_st,4,7.1,90.7,73.73,73.4,70.46,75.83
WM,death,1,2.1,87.5,222.39,224.79,225.19,217.78
ORLY,death_st,3,5.5,71.1,88.82,89.26,91.57,85.89
VALE,golden_st,1,26.2,65.0,14.97,14.94,14.6,15.56
VRSK,death_st,0,1.4,24.2,187.83,187.87,199.94,175.49
PHM,death_st,1,1.3,23.7,126.67,127.07,124.3,120.07
ZTO,death,0,2.0,15.9,21.75,22.5,22.55,20.84
SUI,death_st,3,2.0,14.5,121.29,121.77,124.23,117.65
COO,death,2,1.8,13.6,71.93,71.72,71.94,67.69
CLX,death_st,0,2.9,11.3,99.65,99.84,104.29,91.6
TAP,death_st,1,2.9,7.6,41.07,41.24,43.66,38.84
VNO,death_st,0,1.3,6.8,37.81,37.87,35.39,35.26
CNX,golden,0,1.5,5.5,36.37,35.61,35.58,37.03
SON,death_st,0,1.0,5.1,55.4,55.46,51.96,49.87
XHB,death,0,1.8,,104.72,106.14,106.17,100.75
