symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BRK.B,golden,1,4.7,1072.3,494.88,491.03,490.37,512.37
VZ,golden,0,32.8,197.6,44.69,45.2,45.18,48.19
LMT,golden_st,0,1.3,133.9,536.52,534.08,536.48,581.31
SONY,golden_st,0,5.1,130.9,21.16,21.1,22.7,22.71
WMB,death_st,0,7.6,86.6,73.68,73.74,69.57,70.16
MDLZ,golden_st,0,10.2,77.9,60.45,60.39,60.09,62.48
MSI,golden_st,0,1.0,70.3,415.42,415.09,420.95,440.31
ARES,golden_st,1,2.3,28.8,122.86,122.34,132.51,127.9
PHG,death,0,1.2,24.3,26.53,26.66,26.68,25.55
LYB,death,1,5.3,18.9,59.08,61.29,61.4,58.22
GMAB,golden,1,2.0,17.7,28.32,27.6,27.52,29.0
CRBG,golden,5,4.3,14.3,30.78,29.47,29.06,32.31
TKO,death,2,1.5,13.7,187.49,191.92,192.4,186.06
CHKP,golden_st,0,1.2,13.6,132.44,132.4,155.4,137.64
HAS,golden,0,2.4,12.8,85.32,85.68,85.4,96.34
BF.B,golden_st,0,2.9,12.6,26.46,26.44,27.44,28.9
SF,golden,0,1.4,12.5,77.6,75.66,75.62,84.64
DPZ,golden_st,0,1.1,11.4,321.29,320.66,364.85,350.47
EHC,golden,0,1.1,11.3,110.0,107.06,106.91,116.03
SFD,golden_st,0,1.3,10.5,25.77,25.71,24.84,27.1
VIPS,golden_st,0,2.3,7.1,14.22,14.19,15.59,14.85
TPG,golden_st,1,2.2,6.9,42.6,42.51,47.21,43.76
