symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
TM,death_st,0.3,277.9,225.47,226.05,208.18,213.07
AXP,death,4.1,204.7,315.25,333.19,333.22,300.27
SMFG,death_st,2.5,124.1,20.79,20.84,18.32,19.59
B,death_st,15.1,72.2,45.98,46.04,40.27,42.8
NXPI,death,3.1,48.5,211.09,219.77,220.0,194.02
URI,death,0.7,46.8,807.98,836.96,838.65,745.02
TEVA,death_st,8.2,34.3,31.65,31.7,25.83,30.09
IR,death_st,4.6,32.8,88.4,88.52,84.92,84.06
TWLO,golden_st,2.7,19.1,122.86,122.72,118.9,126.88
SNN,death_st,0.9,14.0,34.42,34.46,33.19,33.37
BEN,death_st,5.3,12.7,25.76,25.77,24.13,24.62
SNX,death_st,0.6,12.4,156.91,157.0,148.94,154.72
SCI,death_st,1.2,11.1,80.77,80.83,80.3,79.37
CFR,death_st,0.6,8.3,136.71,136.95,131.82,130.36
SFM,golden_st,3.1,7.7,76.35,76.21,101.16,81.07
WAL,death,1.7,7.4,77.82,82.83,83.21,68.16
VLY,death_st,8.4,6.6,12.37,12.39,11.22,11.9
PB,death,1.3,6.6,68.41,69.85,69.86,64.56
LTH,death,2.8,5.8,26.93,27.39,27.4,26.07
TMHC,death,1.2,5.8,62.22,62.87,62.93,60.15
NFLU,golden_st,0.4,,29.95,29.94,39.79,31.15
TBT,golden_st,0.4,,34.0,33.99,34.37,34.59
USDU,golden_st,0.8,,25.93,25.92,26.32,26.12
BAB,death_st,0.2,,27.32,27.32,27.09,27.2
CGCV,death_st,0.3,,31.09,31.1,30.02,30.58
DGRW,death_st,1.1,,91.26,91.3,88.49,89.97
DON,death_st,0.1,,53.93,53.98,52.46,52.74
DSTL,death_st,0.1,,60.22,60.23,58.32,59.1698
EDGI,death_st,0.1,,29.68,29.7,28.01,29.02
ESGD,death_st,0.4,,99.09,99.17,94.11,97.05
ESML,death_st,0.1,,48.33,48.36,45.8,47.34
EWL,death_st,0.7,,61.38,61.39,57.91,59.54
FNDA,death_st,0.7,,33.35,33.37,31.67,32.57
GDXU,death_st,0.8,,322.27,325.29,224.52,238.05
GSEW,death_st,0.1,,87.48,87.49,84.73,86.5
IDMO,death_st,0.6,,57.36,57.39,53.95,56.43
IJH,death_st,20.2,,69.26,69.27,66.35,67.82
IJS,death_st,0.2,,120.02,120.17,113.4,117.05
INTW,death_st,0.8,,57.84,57.9,45.13,52.72
ISVL,death_st,0.2,,49.85,49.85,46.04,48.27
ITM,death_st,0.2,,47.37,47.39,46.79,47.03
IUSV,death_st,1.3,,104.95,104.99,101.09,103.16
IVE,death_st,1.5,,216.77,216.82,208.73,213.21
JEPI,death_st,5.8,,58.35,58.38,57.65,57.7
LGOV,death_st,0.2,,21.99,21.99,21.78,21.845
MDY,death_st,1.4,,632.74,632.77,606.16,621.0
NLR,death_st,0.5,,142.61,142.65,129.27,139.54
NYF,death_st,0.2,,53.86,53.86,53.4,53.632
SDVD,death_st,0.2,,22.45,22.48,21.8,21.95
SLYV,death_st,0.2,,96.1,96.22,90.91,93.89
SPYV,death_st,3.6,,58.08,58.09,55.94,57.33
VBR,death_st,0.4,,222.99,223.03,212.53,218.39
VMBS,death_st,1.6,,47.28,47.28,46.87,47.19
VTEB,death_st,8.5,,50.56,50.57,50.16,50.34
XLC,death_st,8.6,,116.48,116.48,112.43,115.37
XME,death_st,2.6,,114.95,114.96,97.81,110.77
CORN,golden,0.4,,18.08,17.84,17.83,18.33
WEAT,golden,0.7,,22.32,21.64,21.63,22.61
FLRN,death,1.0,,30.75,30.77,30.77,30.73
ITB,death,2.9,,100.49,102.93,103.15,94.23
NVDX,death,15.8,,15.89,16.37,16.38,15.4
SCHQ,death,1.1,,32.0,32.04,32.04,31.73
