event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-03-17,NFLU,golden_st,48.18,75.0,-26.82,SKIP,1
2026-03-17,SFM,golden_st,41.23,75.0,-33.77,SKIP,2
2026-03-17,GDXU,death_st,36.04,75.0,-38.96,SKIP,3
2026-03-17,WAL,death,35.13,70.0,-34.87,SKIP,4
2026-03-17,INTW,death_st,35.04,75.0,-39.96,SKIP,5
2026-03-17,TWLO,golden_st,33.77,75.0,-41.23,SKIP,6
2026-03-17,WEAT,golden,30.91,70.0,-39.09,SKIP,7
2026-03-17,NXPI,death,29.94,70.0,-40.06,SKIP,8
2026-03-17,URI,death,29.19,70.0,-40.81,SKIP,9
2026-03-17,LTH,death,28.07,70.0,-41.93,SKIP,10
2026-03-17,B,death_st,27.57,75.0,-47.43,SKIP,11
2026-03-17,NLR,death_st,27.38,75.0,-47.62,SKIP,12
2026-03-17,NVDX,death,27.35,70.0,-42.65,SKIP,13
2026-03-17,XME,death_st,26.15,75.0,-48.85,SKIP,14
2026-03-17,IR,death_st,25.66,75.0,-49.34,SKIP,15
2026-03-17,TEVA,death_st,24.56,75.0,-50.44,SKIP,16
2026-03-17,BEN,death_st,22.84,75.0,-52.16,SKIP,17
2026-03-17,VLY,death_st,22.14,75.0,-52.86,SKIP,18
2026-03-17,AXP,death,21.67,70.0,-48.33,SKIP,19
2026-03-17,PB,death,21.36,70.0,-48.64,SKIP,20
2026-03-17,SCI,death_st,21.07,75.0,-53.93,SKIP,21
2026-03-17,SMFG,death_st,20.65,75.0,-54.35,SKIP,22
2026-03-17,SNX,death_st,19.54,75.0,-55.46,SKIP,23
2026-03-17,TMHC,death,19.4,70.0,-50.6,SKIP,24
2026-03-17,ITB,death,19.02,70.0,-50.98,SKIP,25
2026-03-17,TM,death_st,17.05,75.0,-57.95,SKIP,26
2026-03-17,CFR,death_st,16.98,75.0,-58.02,SKIP,27
2026-03-17,SNN,death_st,16.81,75.0,-58.19,SKIP,28
2026-03-17,VMBS,death_st,16.32,75.0,-58.68,SKIP,29
2026-03-17,BAB,death_st,16.2,75.0,-58.8,SKIP,30
2026-03-17,XLC,death_st,15.42,75.0,-59.58,SKIP,31
2026-03-17,IDMO,death_st,14.62,75.0,-60.38,SKIP,32
2026-03-17,FLRN,death,13.64,70.0,-56.36,SKIP,33
2026-03-17,LGOV,death_st,13.56,75.0,-61.44,SKIP,34
2026-03-17,NYF,death_st,13.22,75.0,-61.78,SKIP,35
2026-03-17,VTEB,death_st,13.22,75.0,-61.78,SKIP,36
2026-03-17,ESGD,death_st,13.03,75.0,-61.97,SKIP,37
2026-03-17,IJS,death_st,12.93,75.0,-62.07,SKIP,38
2026-03-17,ITM,death_st,12.93,75.0,-62.07,SKIP,39
2026-03-17,SLYV,death_st,12.93,75.0,-62.07,SKIP,40
2026-03-17,IJH,death_st,12.77,75.0,-62.23,SKIP,41
2026-03-17,MDY,death_st,12.77,75.0,-62.23,SKIP,42
2026-03-17,FNDA,death_st,12.76,75.0,-62.24,SKIP,43
2026-03-17,EDGI,death_st,12.74,75.0,-62.26,SKIP,44
2026-03-17,ISVL,death_st,12.67,75.0,-62.33,SKIP,45
2026-03-17,ESML,death_st,12.45,75.0,-62.55,SKIP,46
2026-03-17,EWL,death_st,12.04,75.0,-62.96,SKIP,47
2026-03-17,SDVD,death_st,11.98,75.0,-63.02,SKIP,48
2026-03-17,SCHQ,death,11.91,70.0,-58.09,SKIP,49
2026-03-17,VBR,death_st,11.88,75.0,-63.12,SKIP,50
2026-03-17,GSEW,death_st,11.6,75.0,-63.4,SKIP,51
2026-03-17,JEPI,death_st,11.57,75.0,-63.43,SKIP,52
2026-03-17,DON,death_st,11.51,75.0,-63.49,SKIP,53
2026-03-17,DSTL,death_st,11.13,75.0,-63.87,SKIP,54
2026-03-17,SPYV,death_st,10.92,75.0,-64.08,SKIP,55
2026-03-17,CGCV,death_st,10.7,75.0,-64.3,SKIP,56
2026-03-17,DGRW,death_st,10.7,75.0,-64.3,SKIP,57
2026-03-17,IUSV,death_st,10.7,75.0,-64.3,SKIP,58
2026-03-17,IVE,death_st,10.7,75.0,-64.3,SKIP,59
2026-03-17,CORN,golden,8.49,70.0,-61.51,SKIP,60
2026-03-17,TBT,golden_st,6.18,75.0,-68.82,SKIP,61
2026-03-17,USDU,golden_st,3.25,75.0,-71.75,SKIP,62
