event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-01-28,TXN,golden,73.84,70.0,3.84,LOOK,1
2026-01-28,BNO,golden,64.11,70.0,-5.89,SKIP,2
2026-01-28,LYV,golden,63.94,70.0,-6.06,SKIP,3
2026-01-28,OTEX,death,59.71,70.0,-10.29,SKIP,4
2026-01-28,PBR,golden,55.18,70.0,-14.82,SKIP,5
2026-01-28,KBWD,golden,52.28,70.0,-17.72,SKIP,6
2026-01-28,GNRC,golden,51.24,70.0,-18.76,SKIP,7
2026-01-28,SBUX,golden,46.81,70.0,-23.19,SKIP,8
2026-01-28,CTA,golden,39.5,70.0,-30.5,SKIP,9
2026-01-28,ED,golden,30.2,70.0,-39.8,SKIP,10
2026-01-28,REXR,death,30.06,70.0,-39.94,SKIP,11
2026-01-28,SKM,golden,28.34,70.0,-41.66,SKIP,12
2026-01-28,MO,golden,24.99,70.0,-45.01,SKIP,13
2026-01-28,MLPA,golden,20.22,70.0,-49.78,SKIP,14
2026-01-28,DIV,golden,12.12,70.0,-57.88,SKIP,15
2026-01-28,AMLP,golden,11.75,70.0,-58.25,SKIP,16
2026-01-28,CLIP,golden,4.91,70.0,-65.09,SKIP,17
2026-01-28,FLOT,golden,4.91,70.0,-65.09,SKIP,18
