symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
PDD,death_cross,0,9.0,152.6,117.43,117.63,False,True,106.76,success
O,golden_cross,0,6.5,55.7,57.98,57.92,True,False,61.42,success
MET,death_cross,0,3.4,51.3,79.18,79.21,False,True,76.77,success
AIG,death_cross,0,6.0,39.9,79.5,79.65,False,True,72.93,success
STLA,death_cross,0,11.0,28.9,10.78,10.8,False,True,9.6,success
PODD,death_cross,0,0.7,20.2,299.08,299.17,False,True,287.7,success
GRAB,death_cross,0,43.8,17.9,5.13,5.13,False,True,4.38,success
MRNA,golden_cross,0,11.4,15.4,31.16,31.08,True,False,41.83,success
RBRK,death_cross,0,4.1,13.8,75.32,75.54,False,True,67.1,success
TXRH,golden_cross,0,0.9,12.8,174.9,174.4,True,False,194.49,success
CART,death_cross,0,4.5,10.5,42.63,42.7,False,True,39.41,success
QRVO,death_cross,0,1.0,7.5,85.57,85.72,False,True,80.11,success
MLPX,golden_cross,0,0.4,,60.33,60.33,True,False,62.33,success
FLIN,death_cross,0,0.9,,38.42,38.43,False,True,37.8,success
