symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
PANW,golden,0,7.8,193.2,198.86,183.5,182.23,True,False,242.83,False,False,,success
MLM,death,0,0.5,34.5,596.12,607.42,608.34,False,True,558.66,False,False,,success
PHG,death,0,1.2,24.3,26.79,27.54,27.6,False,True,25.23,False,False,,success
AS,death,0,3.6,19.4,34.64,35.03,35.08,False,True,32.84,False,False,,success
QXO,death,0,16.3,12.6,19.16,20.33,20.4,False,True,16.33,False,False,,success
SF,death,0,1.4,11.5,76.38,76.82,76.87,False,True,74.33,False,False,,success
SSB,death,0,0.9,9.1,95.48,96.02,96.03,False,True,92.22,False,False,,success
CUBE,death,0,2.2,9.0,39.61,39.14,39.14,False,True,38.36,False,False,,success
EDU,death,0,0.8,8.3,53.69,54.79,54.8,False,True,50.9,False,False,,success
HACK,golden,0,0.1,,82.7,80.14,80.04,True,False,88.55,False,False,,success
QCMU,golden,0,0.4,,28.26,23.21,22.97,True,False,32.32,False,False,,success
EUAD,death,0,0.6,,40.65,41.88,41.99,False,True,37.64,False,False,,success
HFSI,death,0,0.1,,35.2,35.24,35.24,False,True,35.0,False,False,,success
NRG,death,0,2.8,28.4,145.66,151.8,152.49,False,True,127.81,False,False,,success
