symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BA,death_st,6.5,171.1,228.59,228.91,214.48,214.1
APP,death,7.5,161.0,462.72,498.17,498.88,461.45
LOW,death_st,2.8,140.9,262.48,263.32,252.28,246.88
CVS,death_st,8.7,97.1,77.88,78.0,74.09,75.72
USB,death_st,10.6,80.7,54.87,54.98,50.93,52.23
RCL,death_st,2.8,77.1,301.21,302.0,290.11,286.52
NET,golden_st,5.6,73.0,188.37,188.24,185.72,213.0
FERG,death_st,1.5,45.7,246.74,247.5,231.85,231.63
FITB,death_st,15.0,42.0,49.58,49.66,46.04,45.06
MLM,death_st,0.6,36.6,647.28,649.81,616.84,597.59
RMD,death,1.2,36.0,254.12,254.99,255.37,240.15
MCHP,death_st,9.9,35.4,71.57,71.88,67.18,65.79
OTIS,death_st,4.2,33.5,89.64,89.7,91.15,84.6
RJF,death,1.6,29.3,156.02,159.99,160.31,148.32
KHC,death_st,16.7,28.0,24.16,24.21,25.76,23.14
RF,death_st,14.7,23.1,28.12,28.19,26.36,26.21
TU,death_st,6.3,21.4,13.67,13.69,14.44,13.27
BNTX,death,1.2,21.1,103.06,104.57,104.69,90.84
RL,death_st,0.7,21.0,356.83,357.64,324.78,338.95
BCH,death_st,0.4,20.3,40.96,40.97,35.63,40.07
MKC,death_st,3.3,17.0,66.36,66.7,68.79,59.93
PFGC,death,2.8,13.6,92.23,93.45,93.6,87.78
MAS,death_st,2.9,12.9,68.68,68.98,68.64,62.49
SOLV,death,1.2,11.7,72.5,75.31,75.44,67.62
AVAV,death,2.0,11.1,242.75,264.05,265.25,207.73
WYNN,death,2.0,10.7,106.98,111.77,112.0,100.07
CPT,death_st,1.2,10.7,107.13,107.43,108.77,101.84
SBSW,death_st,7.6,10.2,15.6,15.67,12.07,13.9
SARO,death_st,5.3,9.5,30.04,30.08,28.85,28.37
SSB,death_st,0.9,9.2,98.66,99.05,96.72,91.75
PPC,death_st,1.0,9.2,41.07,41.19,42.51,37.38
ONB,death_st,3.3,8.6,23.47,23.56,22.46,21.88
AXSM,death_st,0.6,8.5,169.46,169.46,143.68,159.5
