symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
TMUS,death_st,5.6,218.8,208.51,208.69,217.31,200.54
C,golden_st,15.9,201.3,112.4,112.16,103.26,117.13
D,golden_st,4.7,54.7,61.99,61.95,60.3,62.69
BIIB,death_st,1.1,25.3,183.1,183.26,166.73,175.61
ON,golden_st,7.4,25.0,61.56,61.56,57.27,63.79
EXE,death_st,4.0,24.9,107.23,107.38,106.96,101.93
BCE,death_st,3.7,22.6,25.25,25.27,24.43,23.83
CFR,golden_st,0.6,8.8,136.6,136.51,132.88,140.24
PSO,golden_st,1.2,8.2,13.03,13.03,13.76,13.39
PRIM,golden_st,0.9,8.0,144.51,144.36,127.12,148.95
LBRDA,golden_st,0.2,7.4,51.09,51.05,58.01,52.02
LBRDK,golden_st,1.0,7.4,51.18,51.16,58.26,52.13
UBSI,golden_st,1.1,5.9,41.12,41.09,39.44,42.41
AVSC,golden_st,0.1,,62.41,62.37,59.24,63.56
DFLV,golden_st,1.3,,35.82,35.81,34.11,36.06
EWA,golden_st,6.2,,28.12,28.12,27.12,28.54
GRID,golden_st,0.5,,165.85,165.85,154.31,166.69
ICVT,golden_st,0.7,,103.17,103.13,99.14,104.53
INTW,golden_st,0.7,,58.61,57.81,46.7,73.54
SOXQ,golden_st,1.1,,61.28,61.27,54.74,63.01
ZMAR,golden_st,0.1,,27.61,27.61,27.2,27.66
COWZ,death_st,1.5,,62.55,62.56,60.18,62.34
EWM,death_st,0.5,,28.64,28.68,27.06,28.01
MRNY,death_st,0.3,,18.7,18.7,20.89,18.14
PLTD,death_st,66.8,,7.48,7.48,8.7,7.3331
PMMF,death_st,0.1,,100.37,100.37,100.34,100.3
VGUS,death_st,0.3,,75.55,75.55,75.49,75.495
TSLA,death,62.6,1323.9,376.86,395.57,396.14,346.65
ABNB,death,4.0,76.0,127.88,128.66,128.74,124.97
NU,death,62.5,69.2,14.41,15.2,15.21,14.15
TW,golden,1.4,26.3,121.4,118.54,118.41,124.82
CAR,golden,1.2,7.5,146.55,128.6,128.38,255.15
RIOT,death,16.7,5.1,13.87,14.58,14.58,14.19
AVIG,death,0.4,,41.61,41.79,41.8,41.53
BOND,death,0.6,,92.41,92.88,92.9,92.27
DFCF,death,1.3,,42.34,42.53,42.53,42.34
HYEM,death,0.3,,19.79,19.91,19.91,19.7
IBTJ,death,0.2,,21.82,21.88,21.88,21.775
IBTK,death,0.2,,19.72,19.78,19.79,19.675
IBTL,death,0.2,,20.39,20.46,20.47,20.335
IBTM,death,0.1,,22.92,23.01,23.02,22.865
IEI,death,3.2,,118.56,118.97,118.98,118.29
IGIB,death,3.9,,53.25,53.55,53.56,53.19
IUSB,death,4.0,,46.24,46.43,46.44,46.18
JEPI,death,5.7,,56.91,57.53,57.55,56.52
SBND,death,0.1,,18.79,18.85,18.86,18.765
SCHZ,death,2.5,,23.23,23.33,23.33,23.21
SCUS,death,0.1,,25.17,25.19,25.19,25.145
SPIB,death,10.7,,33.53,33.67,33.67,33.5
SPTI,death,3.0,,28.65,28.75,28.76,28.58
