symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
SYK,golden_st,0,2.8,126.4,317.27,316.84,341.23,326.85
ET,golden_st,0,8.8,68.2,19.29,19.28,18.57,19.86
SRE,golden_st,1,4.2,61.8,92.66,92.43,90.53,95.33
FER,death_st,0,1.7,47.1,67.72,67.79,64.62,64.32
HLN,golden_st,0,9.6,43.3,9.35,9.34,9.69,9.75
HIG,golden,2,1.9,38.3,133.66,133.27,132.77,138.74
XYL,golden_st,0,2.0,28.7,115.15,115.07,124.62,118.62
TSN,death,3,3.7,20.7,58.49,60.16,60.33,58.3
THC,golden_st,2,1.4,18.0,189.01,186.79,189.64,206.26
RCI,death,0,1.2,17.5,34.68,35.81,35.87,32.77
PAA,golden_st,3,2.4,16.0,22.3,22.22,20.63,23.13
GFL,golden_st,0,3.5,15.0,37.6,37.58,41.24,40.89
BF.B,death_st,1,3.0,11.9,26.48,26.55,27.52,25.78
EHC,golden_st,0,1.1,11.0,103.7,103.4,106.21,110.25
